mileage,price,model,year,description,brand,description_sentiment,description_sentiment_twtr
800 miles,"$3,999 ",Classic 350,Used 2022 Royal Enfield Cruiser,"Chrome redback seatTripper RE Navigation using mobile app directions under 1000 milesfirst 350 mile service doneNo freight charged, dealer fees New bike would cost 6200&. Save 1800$",RE,"[{'label': '3 stars', 'score': 0.2502487599849701}]","[{'label': 'neutral', 'score': 0.7554583549499512}]"
,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,"Todays world is full of opportunities. and obstacles too. it demands constant switching between modes. work and play, night and day, rough and smooth, stop and go, fast and slow. the scram 411 is built for this state of flux.",RE,"[{'label': '5 stars', 'score': 0.40166160464286804}]","[{'label': 'neutral', 'score': 0.6793714165687561}]"
,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,"Todays world is full of opportunities. and obstacles too. it demands constant switching between modes. work and play, night and day, rough and smooth, stop and go, fast and slow. the scram 411 is built for this state of flux.",RE,"[{'label': '5 stars', 'score': 0.40166160464286804}]","[{'label': 'neutral', 'score': 0.6793714165687561}]"
,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,"Todays world is full of opportunities. and obstacles too. it demands constant switching between modes. work and play, night and day, rough and smooth, stop and go, fast and slow. the scram 411 is built for this state of flux.",RE,"[{'label': '5 stars', 'score': 0.40166160464286804}]","[{'label': 'neutral', 'score': 0.6793714165687561}]"
,"$5,099 ",SCRAM 411,New 2023 Royal Enfield Standard,"2023 Royal Enfield SCRAM 411, THE NEW 2023 ROYAL ENFIELD SCRAM 411 IS HERE! MSRP $5099 PLUS $510 FREIGHT, $249 DOC FEE, TAX AND TITLE. YOUR NEXT GREAT RIDE STARTS AT MID-OHIO POWERSPORTS ON HARCOURT ROAD IN MOUNT VERNON.   Features  Engine",RE,"[{'label': '5 stars', 'score': 0.4753192961215973}]","[{'label': 'positive', 'score': 0.8715613484382629}]"
,"$5,099 ",SCRAM 411,New 2023 Royal Enfield Standard,"2023 Royal Enfield SCRAM 411, THE NEW 2023 ROYAL ENFIELD SCRAM 411 IS HERE! MSRP $5099 PLUS $510 FREIGHT, $249 DOC FEE, TAX AND TITLE. YOUR NEXT GREAT RIDE STARTS AT MID-OHIO POWERSPORTS ON HARCOURT ROAD IN MOUNT VERNON.   Features  Engine",RE,"[{'label': '5 stars', 'score': 0.4753192961215973}]","[{'label': 'positive', 'score': 0.8715613484382629}]"
,"$5,099 ",SCRAM 411,New 2023 Royal Enfield Standard,"2023 Royal Enfield SCRAM 411, THE NEW 2023 ROYAL ENFIELD SCRAM 411 IS HERE! MSRP $5099 PLUS $510 FREIGHT, $249 DOC FEE, TAX AND TITLE. YOUR NEXT GREAT RIDE STARTS AT MID-OHIO POWERSPORTS ON HARCOURT ROAD IN MOUNT VERNON.   Features  Engine",RE,"[{'label': '5 stars', 'score': 0.4753192961215973}]","[{'label': 'positive', 'score': 0.8715613484382629}]"
,"$5,099 ",SCRAM 411,New 2023 Royal Enfield Standard,"2023 Royal Enfield SCRAM 411, 2023 ROYAL ENFIELD SCRAM HAS ARRIVED! MSRP $5099 PLUS $510 FREIGHT, $249 DOC FEE, TAX AND TITLE. YOUR NEXT GREAT RIDE STARTS AT MID-OHIO POWERSPORTS!   Features  Engine",RE,"[{'label': '5 stars', 'score': 0.4754299521446228}]","[{'label': 'positive', 'score': 0.8878899812698364}]"
1 miles,"$3,999 ",SCRAM 411,New 2023 Royal Enfield Standard,"2023 Royal Enfield SCRAM 411, Price includes $250 Military Credit, Must Qualify!!   Features  Engine",RE,"[{'label': '5 stars', 'score': 0.3980353772640228}]","[{'label': 'neutral', 'score': 0.7846075296401978}]"
,"$5,099 ",Scram 411 Graphite Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Blue,    Features  Engine",RE,"[{'label': '4 stars', 'score': 0.252536416053772}]","[{'label': 'neutral', 'score': 0.9331250190734863}]"
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, Sale price plus freight, set up tax title and fees.   2023 Royal Enfield Scram 411 White Flame",RE,"[{'label': '3 stars', 'score': 0.2274167686700821}]","[{'label': 'neutral', 'score': 0.9582107663154602}]"
764 miles,"$5,498 ",Interceptor 650,Used 2022 Royal Enfield Standard,"2022 Royal Enfield Interceptor 650,",RE,"[{'label': '5 stars', 'score': 0.30246877670288086}]","[{'label': 'neutral', 'score': 0.8913154006004333}]"
,"$4,499 ",Classic 350 Halcyon Grey,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Grey, Sale price plus freight, set up tax title and fees.   2022 Royal Enfield Classic 350 Halcyon Grey",RE,"[{'label': '5 stars', 'score': 0.3077419400215149}]","[{'label': 'neutral', 'score': 0.9450437426567078}]"
,"$4,699 ",Classic 350 Chrome Red,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Chrome Red, Sale price plus freight, set up tax title and fees.   2022 Royal Enfield Classic 350 Chrome Red",RE,"[{'label': '5 stars', 'score': 0.35576528310775757}]","[{'label': 'neutral', 'score': 0.9411381483078003}]"
"1,276 miles","$3,980 ",Himalayan 411 EFI ABS,Used 2020 Royal Enfield Standard,,RE,,
,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,"Todays world is full of opportunities. and obstacles too. it demands constant switching between modes. work and play, night and day, rough and smooth, stop and go, fast and slow. the scram 411 is built for this state of flux.",RE,"[{'label': '5 stars', 'score': 0.40166160464286804}]","[{'label': 'neutral', 'score': 0.6793714165687561}]"
,"$4,799 ",CLASSIC 350,New 2023 Royal Enfield Sportbike,,RE,,
5 miles,"$4,499 ",Classic 350 Halcyon Black,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Black, * Ask your salesperson how you can get your initial service included with purchase. Find current manufacturer's promotions - Copy this link to your browser: https://www.aspowersports.com/promotions-motorcycles-scooters-sales-deals-roseville-sacramento-eldorado-hills-california--promos -- Note: where stock images are used, photos may include accessories or options that are not included on the motorcycle for sale. -- * All advertised vehicles are subject to prior sale. We reserve the right to make changes without notice, and are not responsible for errors or omissions. New vehicles sold by A&S Motorcycles are subject to freight, title transfer, document, preparation fees and set up fee. Vehicle sales within California are subject to state sales tax, and license fees. If you are not a California resident but take delivery within California, you pay CA sales tax at the minimum rate and a title transfer fee. If you take delivery outside California, laws regarding titling, and taxes vary from state to state; please contact your local Department of Motor Vehicles for information. Some states have a reciprocal tax agreement with California. *Trade-ins: A&S Motorcycles can accept your motorcycle, scooter, car, or truck in trade toward the purchase of a motorcycle. Please call today! All trades are subject to mechanical inspection by our service dept. -- * For over 50 years, A&S Motorcycles has been the premiere Sacramento area motorcycle shop. We specialize in fine European machines from BMW, Ducati, Triumph, Energica and Royal Enfield. We've earned our reputation by offering the best bikes, new and used, along with excellent customer service. Whether you need parts, riding gear or accessories to make your bike unique, we are here for you. It's About the Ride! -- A&S Motorcycles | DLR # 05872 | 916-726-7334 | www.aspowersports.com | It's About the Ride!   2022 Royal Enfield Classic 350 Signals Marsh Grey",RE,"[{'label': '1 star', 'score': 0.3197396993637085}]","[{'label': 'neutral', 'score': 0.8683443069458008}]"
5 miles,"$4,999 ",Classic 350 Halcyon Grey,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Grey, * Ask your salesperson how you can get your initial service included with purchase. Find current manufacturer's promotions - Copy this link to your browser: https://www.aspowersports.com/promotions-motorcycles-scooters-sales-deals-roseville-sacramento-eldorado-hills-california--promos -- Note: where stock images are used, photos may include accessories or options that are not included on the motorcycle for sale. -- * All advertised vehicles are subject to prior sale. We reserve the right to make changes without notice, and are not responsible for errors or omissions. New vehicles sold by A&S Motorcycles are subject to freight, title transfer, document, preparation fees and set up fee. Vehicle sales within California are subject to state sales tax, and license fees. If you are not a California resident but take delivery within California, you pay CA sales tax at the minimum rate and a title transfer fee. If you take delivery outside California, laws regarding titling, and taxes vary from state to state; please contact your local Department of Motor Vehicles for information. Some states have a reciprocal tax agreement with California. *Trade-ins: A&S Motorcycles can accept your motorcycle, scooter, car, or truck in trade toward the purchase of a motorcycle. Please call today! All trades are subject to mechanical inspection by our service dept. -- * For over 50 years, A&S Motorcycles has been the premiere Sacramento area motorcycle shop. We specialize in fine European machines from BMW, Ducati, Triumph, Energica and Royal Enfield. We've earned our reputation by offering the best bikes, new and used, along with excellent customer service. Whether you need parts, riding gear or accessories to make your bike unique, we are here for you. It's About the Ride! -- A&S Motorcycles | DLR # 05872 | 916-726-7334 | www.aspowersports.com | It's About the Ride!   2022 Royal Enfield Classic 350 Dark Gunmetal Grey",RE,"[{'label': '1 star', 'score': 0.3216418921947479}]","[{'label': 'neutral', 'score': 0.8728185296058655}]"
,"$4,599 ",CLASSIC 350,New 2023 Royal Enfield Cruiser,,RE,,
10 miles,"$5,099 ",Scram 411,New 2023 Royal Enfield Standard,,RE,,
,"$4,599 ",CLASSIC 350,New 2023 Royal Enfield Cruiser,,RE,,
,"$5,099 ",Scram 411 Skyline Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Skyline Blue, 2023 Royal Enfield Scram 411 Skyline Blue",RE,"[{'label': '4 stars', 'score': 0.2371228039264679}]","[{'label': 'neutral', 'score': 0.9125364422798157}]"
5 miles,"$3,999 ",Hunter 350 Dapper Grey,New 2023 Royal Enfield Standard,"2023 Royal Enfield Hunter 350 Dapper Grey, 2023 Royal Enfield Hunter 350 Dapper White",RE,"[{'label': '5 stars', 'score': 0.28338468074798584}]","[{'label': 'neutral', 'score': 0.8985530138015747}]"
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 White Flame",RE,"[{'label': '3 stars', 'score': 0.21931979060173035}]","[{'label': 'neutral', 'score': 0.9324964284896851}]"
,"$5,099 ",Scram 411 Graphite Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Red, 2023 Royal Enfield Scram 411 Graphite Red",RE,"[{'label': '5 stars', 'score': 0.2220345437526703}]","[{'label': 'neutral', 'score': 0.9333173632621765}]"
,"$5,099 ",Scram 411 Graphite Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Blue, 2023 Royal Enfield Scram 411 Graphite Blue",RE,"[{'label': '4 stars', 'score': 0.22675491869449615}]","[{'label': 'neutral', 'score': 0.9284297823905945}]"
5 miles,"$5,099 ",Scram 411,New 2023 Royal Enfield Dual Sport,"2023 Royal Enfield Scram 411,",RE,"[{'label': '5 stars', 'score': 0.3248312771320343}]","[{'label': 'neutral', 'score': 0.8919380903244019}]"
,"$4,599 ",Classic 350 Halcyon Grey,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Halcyon Grey, 2023 Royal Enfield Classic 350 Halcyon Grey",RE,"[{'label': '5 stars', 'score': 0.2668563425540924}]","[{'label': 'neutral', 'score': 0.8911826610565186}]"
5 miles,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 Skyline Blue",RE,"[{'label': '5 stars', 'score': 0.29020774364471436}]","[{'label': 'neutral', 'score': 0.8938401937484741}]"
,"$4,799 ",Classic 350 Chrome Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Chrome Red, 2023 Royal Enfield Classic 350 Chrome Red",RE,"[{'label': '5 stars', 'score': 0.3102310299873352}]","[{'label': 'neutral', 'score': 0.8891167044639587}]"
5 miles,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 White Flame",RE,"[{'label': '5 stars', 'score': 0.28029701113700867}]","[{'label': 'neutral', 'score': 0.9324964284896851}]"
5 miles,"$5,099 ",Scram 411 Skyline Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Skyline Blue, 2023 Royal Enfield Scram 411 Skyline Blue",RE,"[{'label': '5 stars', 'score': 0.3000427186489105}]","[{'label': 'neutral', 'score': 0.9125364422798157}]"
5 miles,"$5,099 ",Scram 411 Blazing Black,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Blazing Black, 2023 Royal Enfield Scram 411 Blazing Black",RE,"[{'label': '1 star', 'score': 0.2575642168521881}]","[{'label': 'neutral', 'score': 0.9466480612754822}]"
3 miles,"$4,799 ",Classic 350 Dark Gunmetal Grey,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Dark Gunmetal Grey, New 2023 Royal Enfield Classic 350 Motorcycle For Sale In Katy, TX  Iron Supply Powersports",RE,"[{'label': '5 stars', 'score': 0.36143895983695984}]","[{'label': 'neutral', 'score': 0.9478872418403625}]"
5 miles,"$5,099 ",Scram 411 Graphite Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Blue, 2023 Royal Enfield Scram 411 Skyline Blue",RE,"[{'label': '5 stars', 'score': 0.29568830132484436}]","[{'label': 'neutral', 'score': 0.9250888824462891}]"
5 miles,"$4,699 ",Meteor 350 Fireball Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Fireball Red, 2023 Royal Enfield Meteor Fireball Red",RE,"[{'label': '5 stars', 'score': 0.33155539631843567}]","[{'label': 'neutral', 'score': 0.913585901260376}]"
5 miles,"$4,899 ",Meteor 350 Supernova Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Supernova Blue, 2022 Royal Enfield Meteor 350 Supernova Blue",RE,"[{'label': '5 stars', 'score': 0.32337266206741333}]","[{'label': 'neutral', 'score': 0.9137586951255798}]"
5 miles,"$4,699 ",Classic 350 Dark Gunmetal Grey,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Dark Gunmetal Grey, * Ask your salesperson how you can get your initial service included with purchase. Find current manufacturer's promotions - Copy this link to your browser: https://www.aspowersports.com/promotions-motorcycles-scooters-sales-deals-roseville-sacramento-eldorado-hills-california--promos -- Note: where stock images are used, photos may include accessories or options that are not included on the motorcycle for sale. -- * All advertised vehicles are subject to prior sale. We reserve the right to make changes without notice, and are not responsible for errors or omissions. New vehicles sold by A&S Motorcycles are subject to freight, title transfer, document, preparation fees and set up fee. Vehicle sales within California are subject to state sales tax, and license fees. If you are not a California resident but take delivery within California, you pay CA sales tax at the minimum rate and a title transfer fee. If you take delivery outside California, laws regarding titling, and taxes vary from state to state; please contact your local Department of Motor Vehicles for information. Some states have a reciprocal tax agreement with California. *Trade-ins: A&S Motorcycles can accept your motorcycle, scooter, car, or truck in trade toward the purchase of a motorcycle. Please call today! All trades are subject to mechanical inspection by our service dept. -- * For over 50 years, A&S Motorcycles has been the premiere Sacramento area motorcycle shop. We specialize in fine European machines from BMW, Ducati, Triumph, Energica and Royal Enfield. We've earned our reputation by offering the best bikes, new and used, along with excellent customer service. Whether you need parts, riding gear or accessories to make your bike unique, we are here for you. It's About the Ride! -- A&S Motorcycles | DLR # 05872 | 916-726-7334 | www.aspowersports.com | It's About the Ride!   2023 Royal Enfield Classic 350 Chrome Bronze",RE,"[{'label': '1 star', 'score': 0.306790292263031}]","[{'label': 'neutral', 'score': 0.8816528916358948}]"
,"$4,499 ",Classic 350 Halcyon Green,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Halcyon Green, 2023 Royal Enfield Classic 350 Halcyon Green",RE,"[{'label': '5 stars', 'score': 0.26913100481033325}]","[{'label': 'neutral', 'score': 0.8999660611152649}]"
,"$4,799 ",Classic 350 Chrome Bronze,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Chrome Bronze, 2023 Royal Enfield Classic 350 Chrome Bronze",RE,"[{'label': '5 stars', 'score': 0.2988004982471466}]","[{'label': 'neutral', 'score': 0.845305323600769}]"
3 miles,"$4,599 ",Classic 350 Halcyon Black,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Halcyon Black, New 2023 Royal Enfield Classic 350 Motorcycle For Sale In Katy, TX  Iron Supply Powersports",RE,"[{'label': '5 stars', 'score': 0.39281895756721497}]","[{'label': 'neutral', 'score': 0.9455194473266602}]"
,"$5,449 ",Himalayan Rock Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Himalayan Rock Red, 2023 Royal Enfield Himalayan Rock Red",RE,"[{'label': '5 stars', 'score': 0.2602183222770691}]","[{'label': 'neutral', 'score': 0.9243357181549072}]"
,"$5,099 ",Scram 411 Blazing Black,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Blazing Black, 2023 Royal Enfield Scram 411 Blazing Black",RE,"[{'label': '1 star', 'score': 0.3367387056350708}]","[{'label': 'neutral', 'score': 0.9466480612754822}]"
,"$4,599 ",Classic 350 Signals Desert Sand,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Signals Desert Sand, New 2022 Royal Enfield Classic 350 Motorcycle For Sale In Katy, TX  Iron Supply Powersports",RE,"[{'label': '5 stars', 'score': 0.40445592999458313}]","[{'label': 'neutral', 'score': 0.9501742720603943}]"
5 miles,"$4,599 ",Classic 350 Dark Stealth Black,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Dark Stealth Black, 2022 Royal Enfield Classic 350 Signals Desert Sand",RE,"[{'label': '5 stars', 'score': 0.32966503500938416}]","[{'label': 'neutral', 'score': 0.9224736094474792}]"
,"$4,599 ",Classic 350 Halcyon Black,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Halcyon Black,",RE,"[{'label': '5 stars', 'score': 0.2923371195793152}]","[{'label': 'neutral', 'score': 0.8785580992698669}]"
,"$4,599 ",Classic 350 Halcyon Grey,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Grey,",RE,"[{'label': '5 stars', 'score': 0.30837875604629517}]","[{'label': 'neutral', 'score': 0.8746916055679321}]"
,"$4,599 ",Classic 350 Halcyon Grey,New 2023 Royal Enfield Standard,"2023 Royal Enfield Classic 350 Halcyon Grey, 2023 Royal Enfield Classic 350 Halcyon Grey",RE,"[{'label': '5 stars', 'score': 0.2668563425540924}]","[{'label': 'neutral', 'score': 0.8911826610565186}]"
,"$5,449 ",Himalayan Lake Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Himalayan Lake Blue, 2023 Royal Enfield Himalayan Lake Blue",RE,"[{'label': '5 stars', 'score': 0.25100672245025635}]","[{'label': 'neutral', 'score': 0.9308087825775146}]"
,"$5,299 ",Himalayan Mirage Silver,New 2022 Royal Enfield Dual Sport,"2022 Royal Enfield Himalayan Mirage Silver, 2022 Royal Enfield Himalayan Mirage Silver",RE,"[{'label': '5 stars', 'score': 0.3259226083755493}]","[{'label': 'neutral', 'score': 0.8787897825241089}]"
,"$5,299 ",Himalayan Mirage Silver,New 2022 Royal Enfield Dual Sport,"2022 Royal Enfield Himalayan Mirage Silver, 2022 Royal Enfield Himalayan Mirage Silver",RE,"[{'label': '5 stars', 'score': 0.3259226083755493}]","[{'label': 'neutral', 'score': 0.8787897825241089}]"
,"$6,149 ",INT650 Ventura Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Ventura Blue, 2023 Royal Enfield INT650 Ventura Blue",RE,"[{'label': '5 stars', 'score': 0.2669196128845215}]","[{'label': 'neutral', 'score': 0.9327428340911865}]"
,"$4,799 ",Meteor 350 Stellar Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Stellar Blue, 2023 Royal Enfield Meteor Fireball Red",RE,"[{'label': '5 stars', 'score': 0.26122406125068665}]","[{'label': 'neutral', 'score': 0.8845588564872742}]"
,"$4,799 ",Meteor 350 Stellar Blue,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Stellar Blue, 2023 Royal Enfield Meteor Stellar Blue",RE,"[{'label': '5 stars', 'score': 0.25804540514945984}]","[{'label': 'neutral', 'score': 0.8887905478477478}]"
"3,160 miles","$3,991 ",Classic 350 Halcyon Grey,Used 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Halcyon Grey, Why buy USED? To find the PERFECT vehicle! With over 30 years in the powersports industry, RideNow Powersports has the LARGEST selection of PRE-OWNED vehicles in the nation! Our factory trained service technicians multi-point inspect every vehicle to ensure its ready to Ride Now. Don't see what you are looking for? We can FIND IT for you! We specialize in: Purchasing Used Vehicles I Service for All Makes & Models I Trade-Ins I Special Financing I Assisting with Shipping all over the United States.",RE,"[{'label': '5 stars', 'score': 0.6336584687232971}]","[{'label': 'positive', 'score': 0.8479405641555786}]"
,"$5,299 ",Himalayan Lake Blue,New 2022 Royal Enfield Standard,"2022 Royal Enfield Himalayan Lake Blue, 2022 Royal Enfield Himalayan Lake Blue",RE,"[{'label': '5 stars', 'score': 0.29401203989982605}]","[{'label': 'neutral', 'score': 0.9314317107200623}]"
,"$5,299 ",Himalayan Lake Blue,New 2022 Royal Enfield Standard,"2022 Royal Enfield Himalayan Lake Blue, 2022 Royal Enfield Himalayan Lake Blue",RE,"[{'label': '5 stars', 'score': 0.29401203989982605}]","[{'label': 'neutral', 'score': 0.9314317107200623}]"
,"$4,799 ",Meteor 350 Stellar Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Meteor 350 Stellar Red, 2023 Royal Enfield Meteor 350 Stellar Red",RE,"[{'label': '5 stars', 'score': 0.2543286383152008}]","[{'label': 'neutral', 'score': 0.9064608216285706}]"
,"$6,149 ",INT650 Orange Crush,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Orange Crush, 2023 Royal Enfield INT650 Orange Crush",RE,"[{'label': '5 stars', 'score': 0.26172736287117004}]","[{'label': 'neutral', 'score': 0.9041609168052673}]"
,"$6,149 ",INT650 Orange Crush,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Orange Crush, 2023 Royal Enfield INT650 Orange Crush",RE,"[{'label': '5 stars', 'score': 0.26172736287117004}]","[{'label': 'neutral', 'score': 0.9041609168052673}]"
,"$5,099 ",Scram 411 Silver Spirit,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Silver Spirit, 2023 Royal Enfield Scram 411 Silver Spirit",RE,"[{'label': '5 stars', 'score': 0.241312175989151}]","[{'label': 'neutral', 'score': 0.90996915102005}]"
,"$5,099 ",Scram 411 Graphite Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Red, 2023 Royal Enfield Scram 411 Graphite Red",RE,"[{'label': '5 stars', 'score': 0.2220345437526703}]","[{'label': 'neutral', 'score': 0.9333173632621765}]"
,"$6,149 ",INT650 Orange Crush,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Orange Crush, 2023 Royal Enfield INT650 Orange Crush",RE,"[{'label': '5 stars', 'score': 0.26172736287117004}]","[{'label': 'neutral', 'score': 0.9041609168052673}]"
,"$5,099 ",Scram 411 Graphite Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Red, 2023 Royal Enfield Scram 411 Graphite Red",RE,"[{'label': '5 stars', 'score': 0.2220345437526703}]","[{'label': 'neutral', 'score': 0.9333173632621765}]"
,"$5,099 ",Scram 411 Graphite Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Red, 2023 Royal Enfield Scram 411 Graphite Red",RE,"[{'label': '5 stars', 'score': 0.2220345437526703}]","[{'label': 'neutral', 'score': 0.9333173632621765}]"
,"$5,099 ",Scram 411 Silver Spirit,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Silver Spirit, 2023 Royal Enfield Scram 411 Silver Spirit",RE,"[{'label': '5 stars', 'score': 0.241312175989151}]","[{'label': 'neutral', 'score': 0.90996915102005}]"
5 miles,"$6,349 ",INT650,New 2023 Royal Enfield Cruiser,,RE,,
,"$5,299 ",Himalayan Pine Green,New 2022 Royal Enfield Dual Sport,"2022 Royal Enfield Himalayan Pine Green, 2022 Royal Enfield Himalayan Pine Green",RE,"[{'label': '5 stars', 'score': 0.3326016366481781}]","[{'label': 'neutral', 'score': 0.9169914126396179}]"
,"$4,699 ",Classic 350 Chrome Bronze,New 2022 Royal Enfield Standard,"2022 Royal Enfield Classic 350 Chrome Bronze, 2022 Royal Enfield Classic 350 Chrome Bronze",RE,"[{'label': '5 stars', 'score': 0.3807787001132965}]","[{'label': 'neutral', 'score': 0.844450056552887}]"
,"$5,299 ",Himalayan Pine Green,New 2022 Royal Enfield Dual Sport,"2022 Royal Enfield Himalayan Pine Green, 2022 Royal Enfield Himalayan Pine Green",RE,"[{'label': '5 stars', 'score': 0.3326016366481781}]","[{'label': 'neutral', 'score': 0.9169914126396179}]"
,"$5,099 ",Scram 411 Graphite Yellow,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Yellow, 2023 Royal Enfield Scram 411 Graphite Yellow",RE,"[{'label': '3 stars', 'score': 0.21879060566425323}]","[{'label': 'neutral', 'score': 0.9366112351417542}]"
,"$5,099 ",Scram 411 Graphite Yellow,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 Graphite Yellow, 2023 Royal Enfield Scram 411 Graphite Yellow",RE,"[{'label': '3 stars', 'score': 0.21879060566425323}]","[{'label': 'neutral', 'score': 0.9366112351417542}]"
5 miles,"$6,149 ",INT650,New 2023 Royal Enfield Cruiser,,RE,,
5 miles,"$6,149 ",INT650,New 2023 Royal Enfield Cruiser,,RE,,
5 miles,"$5,999 ",Continental GT 650,New 2022 Royal Enfield Cruiser,,RE,,
5 miles,"$5,999 ",Continental GT 650,New 2022 Royal Enfield Cruiser,,RE,,
5 miles,"$5,998 ",Continental GT 650,New 2022 Royal Enfield Cruiser,,RE,,
5 miles,"$5,999 ",Continental GT 650,New 2022 Royal Enfield Cruiser,,RE,,
5 miles,"$6,499 ",Continental GT 650,New 2022 Royal Enfield Cruiser,,RE,,
5 miles,"$6,349 ",INT650,New 2023 Royal Enfield Cruiser,,RE,,
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 White Flame",RE,"[{'label': '3 stars', 'score': 0.21931979060173035}]","[{'label': 'neutral', 'score': 0.9324964284896851}]"
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 White Flame",RE,"[{'label': '3 stars', 'score': 0.21931979060173035}]","[{'label': 'neutral', 'score': 0.9324964284896851}]"
,"$5,099 ",Scram 411 White Flame,New 2023 Royal Enfield Standard,"2023 Royal Enfield Scram 411 White Flame, 2023 Royal Enfield Scram 411 White Flame",RE,"[{'label': '3 stars', 'score': 0.21931979060173035}]","[{'label': 'neutral', 'score': 0.9324964284896851}]"
1 miles,"$5,746 ",Continental GT 650,New 2022 Royal Enfield Cruiser,,RE,,
213 miles,"$8,500 ",PEGASUS 500 Battle Green,Used 2018 Royal Enfield Standard,"2018 Royal Enfield PEGASUS 500 Battle Green, ROYAL ENFIELD PEGASUS 500 VERY UNIQUE PEGASUS MODEL  2018 Royal Enfield Classic Battle Green",RE,"[{'label': '5 stars', 'score': 0.5984929203987122}]","[{'label': 'neutral', 'score': 0.6921093463897705}]"
,"$6,349 ",Continental GT 650 British Racing Green,New 2023 Royal Enfield Standard,"2023 Royal Enfield Continental GT 650 British Racing Green, 2023 Royal Enfield Continental GT 650 British Racing Green",RE,"[{'label': '5 stars', 'score': 0.24229484796524048}]","[{'label': 'neutral', 'score': 0.9299626350402832}]"
,"$6,149 ",INT650 Canyon Red,New 2023 Royal Enfield Standard,"2023 Royal Enfield INT650 Canyon Red, 2023 Royal Enfield INT650 Canyon Red",RE,"[{'label': '5 stars', 'score': 0.2714202404022217}]","[{'label': 'neutral', 'score': 0.9285210371017456}]"
