mileage,price,Bike name,Types and Used  Time,description
"10,700 miles","$6,250 ",FZ-07,  2017 Yamaha Standard,"2017 Yamaha FZ-07TST programmable LED tail lightFender eliminatorFlush mount front turn signals, plus LED relayT-Rex frame sliders/railsT-Rex case guardsBar mounted RAM ballAndreiani fork cartridges Jan 2022K-tech shock Aug 2021Battery May 2022Oil and filter April 2022Coolant flush April 2022Brake fluid replaced April 2022Philips motovision headlight April 202210,700 miles, and increasingClear title, no lienIncludes both Yamaha keys"
"26,859 miles","$6,000 ",FJR 1300 A,  2013 Yamaha Sport Touring,
"38,000 miles","$7,250 ",SUPER TENERE XT1200Z,  2013 Yamaha Dual Sport,heated grips and bar riserstank pads hard top case and soft saddlebagsquick release tank bagcrash bars and skid plateyoshimura exhaust saddleman seat also oem seat includedmadstad bracketMRA tinted windscreen also tall clear windshield includedbigfoot kickstand plate luggage rack side air deflectorswired for battery tender. Tender included
"2,186 miles","$6,500 ",V STAR 1300 CLASSIC,  2012 Yamaha Cruiser,
"15,360 miles","$8,495 ",ROAD STAR SILVERADO,  2012 Yamaha Touring,"2012 YAMAHA ROADSTAR SILVERADO. 15,360 MILES. 8,495$. PURCHASED IN 2019 FROM DEALERSHIP IN TULSA OKLAHOMA & TRANSPORTED BY HAUL BIKES. BIKE IS STOCK EXCEPT: K & N AIR FILTER, MUSTANG DRIVERS SEAT W/FOLD DOWN BACKREST + PILLION SEAT (NEVER   & BOXED), MUSTANG TANK TUXEDO, GEAR INDICATOR, KURYAKYN HAND GRIPS, BATTERY TENDER/CELL PHONE CONNECTION, FRONT BRAKE PADS REPLACED WITH EBC'S (BUT PROBABLY NOT NEEDED), L.E.D HEADLIGHT W/FAN, 2 YEAR OLD YUASA BATTERY, MICHILIN COMMANDO II TYRES, PALIDIN QUICK RELEASE BACKREST W/HARDWARE (NEVER  ), ALWAYS DETAILED + CERAMIC COATED. OEM CHROME ENGINE GAURDS: PASSING LAMPS DRIVERS + PILLION SEATS W/PADDED BACKREST, CHROME LUGGAGE RACK, CHROME REAR FENDER RACK, ADJUSTABLE WINDSHIELD, HARD BAGS, CHROME SADDLEBAG TRIM RAILS, TANK EMBLEMS REMOVED BUT INCLUDED, HEADLIGHT FRONT & REAR BLINKERS HAVE VISORS. BIKE GARAGED & OIL CHANGED AS SCHEDULED (OR SOONER) USING HI-FLO FILTERS. LESS SCRATCH ON LOWER PORTION OF WINDSHIELD, NO KNOWN RUST OR DAMAGE. GAS TANK ALWAYS TOPPED OFF & PRIOR TO WINTER TREATED WITH LUCAS FUEL STABILIZER/LUBRICANT. I HAVE PHOTOS & RECEIPTS ORGANIZED IN A BINDER. BIKE RUNS LIKE THE WELL-OILED MACHINE IT'S KNOWN TO BE. I ALSO HAVE JACKETS, LEATHER & REFLECTIVE VESTS, GLOVES, NEW SHOE FULL FACE HELMET, BATTERY TENDER, ALL WEATHER COVER + 1/2 COVER, SOFT STUFF BAGS, UNOPENED CASE OF YAMALUBE 10/40 & MISC ITEMS THAT MAY BE NEGOTIATED."
"7,764 miles","$7,995 ",STRATOLINER DELUXE,  2009 Yamaha Cruiser,"Get ready to turn heads with the powerful and stylish Yamaha 2009 Stratoliner! This classic cruiser is packed with modern features that make it both comfortable and practical for riders of all levels.The 1854cc V-twin engine is the heart of this beast, delivering smooth acceleration and plenty of torque for an exhilarating ride. Paired with a 5-speed transmission, you'll be able to easily shift gears and feel the power at your fingertips.But it's not just about performance - the Yamaha 2009 Stratoliner is also a comfortable ride thanks to its spacious saddle, floorboards, and windshield. You'll feel like you're gliding on the road with the bike's long and low profile, and the dual exhaust pipes will add a touch of attitude to your ride.This bike is perfect for those who want to make a statement on the road. Whether you're cruising through town or heading out on a long road trip, the Yamaha 2009 Stratoliner will deliver the power, comfort, and style you crave. Don't miss your chance to own this top-of-the-line cruiser - come take it for a spin today!"
"23,028 miles","$7,999 ",YZF R1,  2007 Yamaha Sportbike,"2007 Yamaha YZF R1 Stock #: K896A Vin: JYARN20E57A006294 Miles: 23028 998 CC, Inline 4, 4-stroke 6-Speed w/ multi-plate slipper clutch With this impressive engine design, the 4 valves per cylinder design allows for a more compact engine and increases power output, making this bike a true powerhouse on the road. The YCCT fly-by-wire throttle system and YCCI variable intake system work together to provide a smooth and powerful ride, giving riders an unparalleled level of control and performance. The slipper clutch and dual under seat exhaust only add to the bike's overall impressive profile and functionality. The excellent suspension, handling, and braking makes this super sport bike a dream machine for any-one the demands top of the line performance!"
"13,868 miles","$3,100 ",V STAR 650 CLASSIC,  2006 Yamaha Cruiser,"Great bike, starts right up and runs smooth! Very dependable. I'm 3rd owner. I put 1,500 miles on it. I bought a bigger bike and need room in garage. Great beginner bike! Don't ask me any mechanical questions, I just ride motorcycles I don't work on them. Maintenance records provided by previous owner."
"42,400 miles","$2,495 ",MAJESTY 400,  2005 Yamaha Scooter,
3 miles,"$14,199 ",MT-10,New 2023 Yamaha Sportbike,"2023 YAMAHA MT-10,"
,"$7,199 ",YZ125 Monster Energy Yamaha Racing Edition,New 2023 Yamaha Mx,Bring the braaap and run the Monster Energy® colors with the YZ125 Monster Energy® Edition.
1 miles,"$9,199 ",YZF-R7,New 2023 Yamaha Custom,"2023 Yamaha YZF-R7, DON'T SEE WHAT YOU ARE LOOKING FOR? CALL OR TEXT TODAY @ 470.580.6821!  2023 Yamaha YZF-R7"
,"$9,899 ",YZ450F,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ450F, 2023 Yamaha YZ450F"
,"$14,999 ",Tracer 9 GT,New 2022 Yamaha Standard,"2022 Yamaha Tracer 9 GT,"
"3,674 miles","$10,998 ",YZF-R7,  2022 Yamaha Sportbike,"Year : 2022 Make : Yamaha Model : YZF-R7 Miles : 3,674 Exterior color : Blue Stock : 001552 VIN : JYARM38E6NA001552 Engine Displacement (cc) : 700 Transmission : manual Fuel Type : gas Type Truck : Sport Bike"
212 miles,"$7,000 ",Xmax BASE,  2022 Yamaha Scooter,"212 miles says it all, do to a recent knee surgery I can’t use as I intend kept in a heated garage year round."
"1,750 miles","$21,000 ",YZF R1 WORLD GP 60TH ANNIVERSARY EDITION,  2022 Yamaha Sportbike,"PRICE IS FIRM. 2022 YAMAHA R1 WORLD GP 60TH ANNIVERSARY EDITION. Good luck finding another locally. Well taken care of and always garaged.Title in hand.Aftermarket: GB racing engine covers Puig windscreen Blaster X tail light Frame, fork, and spool sliders Relocated license plate SS header back exhaust Underglow kit Will come with all stock parts. NO TRADES. PRICE IS FIRM. YOU CAN FINANCE THROUGH THE WEBSITE IF YOU NEED TO DO PAYMENTSLocated in Killeen, tx."
1 miles,"$14,899 ",Tracer 9 GT CA,New 2021 Yamaha Sport Touring,"2021 YAMAHA Tracer 9 GT CA, LEFTOVER MODEL. $16,200 OTD   Top Features"
,"$7,040 ",YZ125,  2021 Yamaha Dirt Bike,"2021 YAMAHA YZ125,    Top Features  Engine Features"
,"$7,599 ",YZ250F Monster Energy Yamaha Racing Edition 250 MONSTER ENERGY YAMAHA RACING EDITION,  2021 Yamaha Dirt Bike,"2021 Yamaha YZ250F Monster Energy Yamaha Racing Edition, 2021 Yamaha YZ250F Monster Energy Yamaha Racing Edition"
110 miles,"$7,200 ",YZ 250F,  2021 Yamaha Dirt Bike,"2021 Yamaha YZ 250F, STOP BY AND CHECK OUT THIS GENTLY  , WELL MAINTAINED YZ250F!!!***/Vin: JYACG40CXMA018673/Mileage: 110/Stock Number: MA018673A/Color: BLUE/Condition:*   -***YOUNG POWERSPORTS BURLEY IS CONVENIENTLY LOCATED IN THE MIDDLE OF TOWN, RIGHT OFF OVERLAND AVE! NESTLED RIGHT BETWEEN YOUNG GMC AND LYNCH OIL. WE ARE ALSO ONLY 2 HOURS FROM NORTHERN UTAH WELCOMING ALL ADVENTEROUS SHOPPERS!! ***333 OVERLAND AVE BURLEY ID, 83318. OPEN: MON-SAT: 9AM - 7PM. CLOSED SUNDAY. www.youngpowersportsidaho.com****Inventory shown online is NOT guaranteed to be available. PLEASE contact us to check availability.****Additional non-factory accessories could be installed on this unit. Could cost extra. Please contact us to verify.****Price, if shown, does not include any dealership fees, government taxes, dealer document, or finance charges (if applicable). Final actual sales price will vary based on model, options, or accessories selected.***FOLLOW US:Instagram: @youngpowersportsburleyFacebook: Young Powersports BurleyTikTok: @youngpowersportsburley**********"
47 miles,"$8,995 ",WR250R,  2020 Yamaha Sportbike,Rare find 2020 Wr250 with 47 actual miles. Show room condition. Off and on road. Clean title. Call for more details. 619-992-5622
"41,080 miles","$14,998 ",VENTURE,  2018 Yamaha Cruiser,"2018 YAMAHA VENTURE,    Top Features  Engine Features"
"11,749 miles","$7,693 ",MT-07,  2018 Yamaha Standard,"2018 Yamaha MT-07, INTEREST RATE AS LOW AS 7.75% O.A.C ! Why buy  ? To find the PERFECT vehicle! With over 30 years in the powersports industry, RideNow Powersports has the LARGEST selection of PRE-OWNED vehicles in the nation! Our factory trained service technicians multi-point inspect every vehicle to ensure it’s ready to Ride Now. Don't see what you are looking for? We can FIND IT for you! We specialize in: Purchasing   Vehicles I Service for All Makes & Models I Trade-Ins I Special Financing I Assisting with Shipping all over the United States. Start your adventure today and CALL 855-975-5958 to get started on the path to ownership!  2018 Yamaha MT-07"
"9,276 miles","$5,698 ",Bolt C-Spec,  2015 Yamaha Cruiser,"2015 Yamaha Bolt C-Spec, Why buy  ? To find the PERFECT vehicle! With over 30 years in the powersports industry, RideNow Powersports has the LARGEST selection of PRE-OWNED vehicles in the nation! Our factory trained service technicians multi-point inspect every vehicle to ensure it’s ready to Ride Now. Don't see what you are looking for? We can FIND IT for you! We specialize in: Purchasing   Vehicles I Service for All Makes & Models I Trade-Ins I Special Financing I Assisting with Shipping all over the United States. Start your adventure today and CALL 855-971-8561 to get started on the path to ownership!  2015 Yamaha Bolt™ C-Spec"
"4,500 miles","$13,500 ",YZF R6,  2014 Yamaha Sportbike,"Hello! Looking to sell a track prepped r6. I bought the bike stock with 3k miles and dumped about 12k parts and labor into it. I rode the bike for a year at the track to get faster before i upgrade. Never been downed, all work done by motorsport exotcia. I have all the stock parts if you want to put it back to street, I also have a parts list for what has been upgraded in the photos. Cash offers are ideal but I may be able to secure you financing depending on downpayment and credit."
"5,354 miles","$4,668 ",XVS95BR BASE,  2012 Yamaha Cruiser,"2012 Yamaha XVS95BR,"
"15,800 miles","$7,700 ",YZF R6,  2012 Yamaha Sportbike,"Great well maintained r6. just serviced about 50 miles ago oil changed, filter, and completely inspected. custom dyno tune. the bike makes about 120hp. slip on exhaust. front and rear vortex sprockets. carbon fiber front fender and tank cover. rear fender delete. integrated rear turn signal. smoked flush mount front turn signals. red billet levers. smoked wind screen. few minor cosmetic flaws but the bike runs great. will allow test ride if you’re a serious buyer. $7700."
"20,268 miles","$4,568 ",V Star® 1300 BASE,  2009 Yamaha Cruiser,"2009 Yamaha V Star® 1300, Why buy  ? To find the PERFECT vehicle! With over 30 years in the powersports industry, RideNow Powersports has the LARGEST selection of PRE-OWNED vehicles in the nation! Our factory trained service technicians multi-point inspect every vehicle to ensure it’s ready to Ride Now. Don't see what you are looking for? We can FIND IT for you! We specialize in: Purchasing   Vehicles I Service for All Makes & Models I Trade-Ins I Special Financing I Assisting with Shipping all over the United States. Start your adventure today and CALL 855-971-8561 to get started on the path to ownership!  2009 Yamaha V Star® 1300"
"18,000 miles","$5,800 ",ROYAL STAR VENTURE S,  2001 Yamaha Cruiser,"2001 Yamaha Royal Star Venture 1300 only 18k miles just done carbs cleaned and tunedNew Battery, all fluids replaced New tiresHeated hand grips,no dents no tears perfect like new cond.please call 773-87O-O588"
1 miles,"$4,899 ",YZ85,New 2023 Yamaha Mx,Built for fun. Built to win. The updated YZ85 serves up big-bike specs in a small-bike package.
3 miles,"$4,999 ",MT-03,New 2023 Yamaha Sportbike,"2023 YAMAHA MT-03,"
3 miles,"$4,999 ",MT-03,New 2023 Yamaha Sportbike,"2023 YAMAHA MT-03,"
,"$4,999 ",MT-03 MATTE STEALTH BLACK,New 2023 Yamaha Standard,"2023 Yamaha MT-03 MATTE STEALTH BLACK,"
1 miles,"$4,499 ",TT-R230,New 2023 Yamaha Dirt Bike,"Easy to ride and easy to maintain, the super-capable TT-R230 delivers proven performance."
1 miles,"$18,299 ",FJR 1300 ES 1300ES,New 2023 Yamaha Touring,
3 miles,"$8,199 ",MT-07 CA,New 2023 Yamaha Sportbike,"2023 YAMAHA MT-07 CA,"
3 miles,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,"2023 YAMAHA YZF-R7,"
1 miles,"$9,199 ",YZF-R7 CA,New 2023 Yamaha Sportbike,"2023 YAMAHA YZF-R7 CA, Advertised pricing excludes applicable taxes title and licensing, dealer set up, A.D.M, destination, reconditioning and are subject to change without notice. Pricing may exclude any added parts, accessories or installation unless otherwise noted. Sale prices include all applicable offers.   Top Features"
1 miles,"$14,995 ",Super Tenere ES,New 2023 Yamaha Dual Sport,"2023 Yamaha Super Tenere ES, 2023 Yamaha Super Tenere ES"
1 miles,"$9,199 ",YZF-R7 CA,New 2023 Yamaha Sportbike,"2023 YAMAHA YZF-R7 CA, Advertised pricing excludes applicable taxes title and licensing, dealer set up, A.D.M, destination, reconditioning and are subject to change without notice. Pricing may exclude any added parts, accessories or installation unless otherwise noted. Sale prices include all applicable offers.   Top Features"
,"$9,199 ",YZF-R7,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZF-R7, 2023 Yamaha YZF-R1"
,"$2,299 ",TT-R110E,New 2023 Yamaha Dirt Bike,"2023 Yamaha TT-R110E, NEW 2023 YAMAHA TT-R110E - MSRP - $2,299.00 + FEES. LANGSTON MOTORSPORTS. OPEN 7 DAYS A WEEK. ZERO DOWN PAYMENT OPTIONS AVAILABLE O.A.C. CHALLENGED CREDIT OK. INVENTORY UPDATED DAILY. COME SEE US TODAY OFF THE 215 FWY IN PERRIS.  2023 Yamaha TT-R110E"
"10,603 miles","$10,999 ",TENERE 700,  2022 Yamaha Dual Sport,"2022 YAMAHA TENERE 700,"
,"$8,199 ",MT-07 TEAM YAMAHA BLUE,New 2022 Yamaha Standard,"2022 Yamaha MT-07 TEAM YAMAHA BLUE,"
"4,099 miles","$9,500 ",MT 09,  2022 Yamaha Standard,"2022 Yamaha MT09 for sale, purchased new from Beaverton Motorcycles in Feb 2022. Absolute charm to ride. Bike has 4,099 miles on the odometer. Initial 600 mile service was completed by Beaverton Motorcycles and the 4,000 mile service was done by me.Here are the included add-ons with receipts for everything-Replaced the rear tire after ~3,000 miles, I can’t find the receipt for it but can get a copy from Cycle Gear if you need it. Selling for a different bike. My CU has the title, all that means for you as we’d go over and exchange there."
,"$9,799 ",YZ450F,New 2022 Yamaha Dirt Bike,"2022 Yamaha YZ450F, 2022 Yamaha YZ450F"
"1,900 miles","$18,400 ",YZF R1 WORLD GP 60TH ANNIVERSARY EDITION,  2022 Yamaha Sportbike,
1 miles,"$15,329 ",Tracer 9 GT,New 2021 Yamaha Touring,"Featuring an all-new engine and premium sport touring features that come standard, the most versatile touring partner for when you're commuting or riding across the mountains."
"2,733 miles","$7,000 ",FZ-09,  2015 Yamaha Sportbike,"2015 Yamaha FZ-09 with less than 3000 miles. Always garaged! Bought new in 2017 (mid-life thing). Bike is stock, but comes with extras:Bell Qualifier DLX full face helmet w/Transitions visor (Large)PackTalk system Sedici 2xl jacket w/padsOnGuard cable lockPhone holder on handle barKryptonite brake lockFull Printed owners manual Test ride it! I'll need cash in hand though. Title is clean."
"11,499 miles","$5,999 ",Bolt C-Spec,  2015 Yamaha Cruiser,"2015 Yamaha Bolt C-Spec, 2015 Yamaha Bolt™ C-Spec"
"14,611 miles","$6,290 ",Bolt R-Spec,  2015 Yamaha Cruiser,"2015 Yamaha Bolt R-Spec, 2015 Yamaha Bolt™ R-Spec"
"15,440 miles","$8,500 ",V STAR 950 TOURER,  2015 Yamaha Cruiser,"This is a fun bike for anyone, have had a lot of fun with this bike. I am inlcuding both my lids, one AirFlight lid and one Shoei. The Shoei has only been worn twice, both lids in great shape and never been dropped. Also will include the mechanics tool set bought from Cycle Gear with the bike as well. If I get the full offer will also include my winter riding gear for no extra included pictures of all. Battery has been recently replaced runs great and road ready. Looking for 8,500 and do have title in hand. Can deliver upto 50 miles from Hillsborough NC."
"20,400 miles","$5,195 ",V STAR 1300,  2014 Yamaha Touring,"Description* 2014 Yamaha V-Star 1300 -XVS13AER* 20,400 Miles (Runs Great)* Deep Red Metallic* 1304cc, Liquid-Cooled, V-Twin, Fuel Injected Engine* Fuel System: Fuel Injection* Five-Speed Transmission* Final Drive: Belt* Cobra Exhaust* Engine Guard* Saddlebag Guards* Rider Floorboards* Adjustable Passenger Pegs* Includes Short Passenger Backrest* Includes Windshield* Chrome Hypercharger Air Cleaner* Upgraded Handgrips* Chrome Mirrors* Heel-Toe Shifter* Saddlebags* Chrome Cooler Cover"
"7,862 miles","$11,700 ",ROADLINER S,  2014 Yamaha Cruiser,"Yamaha Roadliner S fully customized to be a touring bike. Full exhaust done by Black Smith motoring. Power commander. 113 cu in engine. Custom paint matched fairing with Bluetooth sound system and handlebar controls. Paint matched locking hard Yamaha saddle bags with travel bag inserts. Crash bar with highway pegs. Quick detach backrest for rider and passenger. Rear bib for solo set up as well. All LED lights. Asking 11,700. Accepting offers. More photos available upon request.*PLEASE DO NOT CONTACT ME ASKING IS IT AVAILABLE. IF THE POST IS UP, ITS AVAILABLE. LETS NOT WASTE TIME*This is a 2014 Yamaha Roadliner in what Yamaha calls Deep Purplish Blue Metallic. Most call it Yamaha Blue. 113 cu in engine, 1900cc. A full exhaust was put on the bike by Black Smith motoring. Along with that, an engine remapping was done with a power commander which is under the seat. With that, my highway cruising speed has been about 80mph.To make this a touring bike, a front fairing, hard saddle bags, a highway/crash bar, and backrests were installed. The previous owner had drag bars on the bike. I removed them and put the stock bars back on. A marine stereo was installed into the front fairing and everything has been paint matched with original Yamaha paint. I also have all LED lights on bike. I am selling this bike because I have a HD Road Glide and do not need multiple bikes. Thanks for your interest."
"8,800 miles","$8,400 ",RAIDER BASE,  2013 Yamaha Cruiser,"2013 Yamaha Raider, black on black with hints of chrome. It has Cobra Sweep Pipes and a Power Commander 5 on it with passenger backrest otherwise stock with slipper clutch and self cancelling turn signals. Great shape, new tires with less than 1,000 on them and oil changed late last year. Asking: $8,400 oboKBB: $9,300Mileage: roughly 8,800 (probably will go up)Title is free and clear. Has a Memphis Shade Batwing Fairing with a 9” flip windshield and lowers that will be an additional $400, if you would want it. Contact me at:78five-7eight7-nine46nine"
,"$11,950 ",YZF R1,  2011 Yamaha Sportbike,"REDUCED!! Candy Red Raven. Low miles 1,816 (and still riding). I am the second owner, somewhat of a collector, now just older (68) just time to sell. Adult ridden, immaculate. Power commander and Graves exhaust. History of R1Please Call: (606)-682-6954 for more information"
"5,143 miles","$5,290 ",V-STAR 950,  2009 Yamaha Cruiser,"2009 YAMAHA V-STAR 950, PERFECT CONDITION ALL STOCK YAMAHA V-STAR 950. LOW MILES. LEATHER SADDLE BAGS. NEW TIRES. RUNS AND RIDES LIKE NEW. CALL OR EMAIL FOR MORE DETAILS. FINANCING IS AVAILABLE. TRADES WELCOME. SOLD WITH OUR WORRY FREE 30 DAY FULL SERVICE WARRANTY. SHIPPING IS AVAILABLE TO ANYWHERE IN THE CONTINENTAL UNITED STATES FOR $899 OR LESS* ..... $$ WE PAY CASH FOR BIKES $$ call now for a instant quote on your motorcycle. We come to you and take the hassle out of selling."
"13,199 miles","$3,600 ",V STAR 650 CUSTOM,  2008 Yamaha Cruiser,Well maintained Yamaha v star 650. Have owned it for about six years now. Added turn signal LED mirrors. Was dropped 2 inches by previous owner. New battery added 3/23 and have receipt. Clean title. Will try to post a video soon. Selling because I don't ride it more than twice a year. Very fun bike.Firm on price based on its condition and mileage. Fairly hard to find something comparable within 100 miles from my location. I won't hold it so please serious inquiries only.
"43,567 miles","$3,490 ",V-STAR 1100 CUSTOM,  2007 Yamaha Cruiser,"2007 YAMAHA V-STAR 1100, NICE 2007 YAMAHA V-STAR 1100. JARDINE STRAIGHT SHOT EXHAUST. NEWER TIRES. NEW BATTERY. RUNS AND RIDES PERFECT. CALL OR EMAIL FOR MORE DETAILS. FINANCING IS AVAILABLE. TRADES WELCOME. SHIPPING IS AVAILABLE TO ANYWHERE IN THE CONTINENTAL UNITED STATES FOR $899 OR LESS* ..... $$ WE PAY CASH FOR BIKES $$ call now for a instant quote on your motorcycle. We come to you and take the hassle out of selling."
"28,000 miles","$5,950 ",Stratoliner,  2007 Yamaha Touring,"Lots of chrome and upgrades! Garage kept.PowerCommander III, chrome grips, engine guard, floorboards, streamlined leather-covered, locking, hard sidebags with chrome trim, chrome fender trim, luggae rack and adjustable, detachable windshield, and a detachable passenger backrest. Will include 1800 lb motorcycle lift rack, hemets, jacket, and trickle charger."
,"$12,000 ",RD400,  1977 Yamaha Custom,1977 yamaha RD400 chassis.with a 1978 TZ 250 engine water pumper dry clutch.Original owner.Many extra stock parts.I built this bike for show and racing.Back in the early 80's.I rode on the streets. Never got a chance to race it.I was racing TZ 250.Thats how it got one of my race bike Engines It's been in storage since the 90's.It is definitely beautiful bike.For somebody that love Exotic Motorcycles. call Dennis 949-343-0728
,"$18,299 ",FJR1300ES 1300 ES,New 2023 Yamaha Sport Touring,Putting the “Sport” in Sport Touring. Experience superb power and torque for unequaled muscular acceleration across the RPM range.
,"$1,699 ",PW50,New 2023 Yamaha Standard,"2023 Yamaha PW50,"
,"$5,499 ",YZF-R3,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZF-R3, 2023 Yamaha YZF-R3"
"3,550 miles","$11,500 ",YZF R7 WORLD GP 60TH ANNIVERSARY EDITION,  2022 Yamaha Sportbike,"Yamaha R7 2022 World GP 60 Anniversary - 3530 Miles on it - 689cc Engine - Never let down - Adult own and driven - Clean Title in hand - M4 Carbon Fiber Full Exhaust System - TST Flush Mount Smoke Amber lights - JL Design Fender Eliminator Kit - Excellent motorcycle, in brand new condition"
1 miles,"$14,999 ",Tracer 9 GT,New 2022 Yamaha Touring,"2022 Yamaha Tracer 9 GT, The 2022 Yamaha Tracer 900 GT is ready for any adventure! The most advanced versatile sport touring machine on this planet with heated hand grips, Yamaha chip controlled throttle, and adjustable riding position! You'll be able to take this bike anywhere. Stop into Grand Prix Motorsports today and see how it fits you! 303-761-2471.  2022 Yamaha Tracer 9 GT"
"11,194 miles","$11,999 ",Niken,  2019 Yamaha Sportbike,"2019 Yamaha Niken, 2019 Yamaha Niken"
"4,300 miles","$8,999 ",MT 09,  2019 Yamaha Standard,"Bike comes with mods:- Gilles Tooling Rearsets- Arrow Full Stainless Steel Exhaust System-Sprint SP-08 Race Air Filter - Woodcraft Rear Axle Slider/Paddock- Woodcraft Front Axle SliderCQ5G UC ll 34%TWM Gas Cap- Rizoma Red Handle Bar- Rizoma Handle Bar Grips- Rizoma Front Turn Signal- Rizoma Windscreen- Rizoma Left Bar Mounted Mirror- Rizoma Brake Lever Guard- ASV Shorty Levers- NRC Rear Turn Signal- GB Racing Engine and Stator Cover- Womet-Tech Evo Frame Sliders- Evotech Radiator Guard-XplaneR1 Custom tuned ECU- TransLogic QuickshifterComes with factory handle bar, Side Mirrors, Turn Signal, Rearsets, Exhaust system upon selling.Can Request For More Photos Through Contacts."
,"$5,100 ",250F,  2018 Yamaha Mx,Bike is in excellent condition. Normal ware and tear for 2018. Very responsive and very fast. No dealer fees no tax. Let me know.
"1,492 miles","$5,499 ",SCR950,  2017 Yamaha Standard,"2017 Yamaha SCR950, 2017 Yamaha SCR950"
800 miles,"$9,999 ",WR450F,  2017 Yamaha Dual Sport,2017 Yamaha WR450FCA REGISTERED STREET LEGAL*Very rare* Only one owner. Bought brand new from dealership.- GYRT Power Tuner- XL80 Baja Designs Headlight- FMF Powercore 4 HEX slip-on exhaust- Motoseat Ribbed Traction seat cover- Polisport swingarm protectors- Acerbis upper fork guards- Cycra powerflow intake radiator shrouds- Zeta armor-guard LED XC handshields- Dunlop geomax AT81 front and rear*Original and white set of plastics included*
"6,793 miles","$7,500 ",FJ-09,  2015 Yamaha Sport Touring,"Excellent Condition with very low miles. Beautiful Bike! Front tire Road 6 brand new, rear tire has plenty of life in it. Fresh oil and recent coolant flush."
"9,400 miles","$7,390 ",FZ8,  2013 Yamaha Sportbike,
"3,427 miles","$6,750 ",FZ8,  2013 Yamaha Sportbike,"Looking for a sleek and powerful motorcycle that has been meticulously maintained? Look no further than this 2013 Yamaha FZ8! This beauty has been gently   and kept in pristine condition, with only 3420 miles on the odometer - making it a rare find among   motorcycles. You can rest easy knowing that this bike has been garage-kept and stored on a stand when not in use, so it's in top-notch shape.And with a slip-on shorty exhaust, this bike not only looks great, but it sounds incredible too. Plus, the original exhaust is included, so you can switch back if you prefer. And to sweeten the deal, a bike stand is also included, making it easy to store and work on this machine.So whether you're a seasoned rider looking for a high-performance motorcycle or a newbie looking for your first bike, this Yamaha FZ8 is the perfect choice. Don't miss out on this opportunity! Text or email if you have any questions . Thanks for your interest !"
"13,692 miles","$9,500 ",RAIDER S,  2012 Yamaha Cruiser,"This Beautiful Stallion is the best of many bikes I've owned. It's torque is amazing, better hang on!The Vance Hines Exhaust is not just beautiful, but the sound wildly ferocious! This baby is black and tons of chrome, truly an eye catcher anywhere you ride. The reliabilty, power and overall ability in mountain drives, highway cruises or local show stoppers are its greatest attributes. It gets 42 mpg and every mile is in style. Maintenance, insurance and overall performance is so inexpensive. Just put brand new Metzler tires, rear brakes, extra chrome accsessories and complete service to safely start your journey and ownership of this bike I love. I would never sell it but my wife, dog and I are getting older, so doing the travel trailer thing now. You want a ride that everyone looks at, that is incredible and can be customized to your desires with all that you could need? This is your ride! Sissy bar and rack, mini windsheild to leave on or remove. Weekender sissy bar travel bag, extra like new helmets and riding gear included. I'm telling you, you can't find a better do it all bike. She's precious to me and will be to you! LAST BUT NOT LEAST. My favorite dirt bike was the Husqvarna Enduro 250. I owned and rode a Herritage Harley Springer with style and a rear end that was incredible. On a thousand mile trip of open highway my Harley Road King was possibly more comfortable. This Raider is an absolute gem that crosses over all of them and to this day is the best bike I've ever owned!"
"78,000 miles","$5,000 ",FJ1300,  2011 Yamaha Sport Touring,"Perfect condition, everything working as it should, just had all fluids changed, little scratch on right side saddle. Tires in good condition. I'm the second owner bought it 3 years ago and had lots of fun.reason for selling: got a back injury and at 66 will take a while to getting back on two wells."
"15,686 miles","$6,500 ",STRYKER XVS1300CT,  2011 Yamaha Cruiser,"NO SCAM CALLS, NO SHIPPING: Only selling to interested parties, and local area w/in 100 mile radius. This motorcycle is built for comfort, has forward controls to stretch your legs out and a backrest for the passenger to feel safe. This bike is clean, modern, fun and an absolute blast to ride on both the highway and in the mountains. Very well kept, great looking   cruiser, always garaged, when not  . Needs absolutely nothing extra! Added extra’s include Vance & Hines V-Twin Exhaust w/Power Commander Tuner and attachable Windshield!"
"26,000 miles","$4,000 ",V STAR 1300 BASE,  2007 Yamaha Touring,New rear tireCobra Draster slip on mufflersneeds nothing start right up12inch ape hangersSaddlemanbagssissy bar with luggage racknice leather bag forluggage rackoriginal exhaustmotorcycle liftbattery tenderowners and service manualclear texas title in my name
"13,600 miles","$3,900 ",Road Star,  2005 Yamaha Cruiser,"Great bike.  One minor scrape on mirror arm and one small one on exhaust tip.  It sounds good, runs good.  Just time for a new home!Video is from a 2 weeks sit cold start. This was the cruiser of the year in 2005.https://www.motorcycle.com/specs/yamaha/cruiser/2005/road-star/base.html"
"2,937 miles","$2,000 ",XT225,  1993 Yamaha Dual Sport,"I have TWO Yamaha XT225 Serows for sale. A 1992 and a 1993 matching pair (2777 miles and 2937). They run very well and are missing a panel each. New batteries and just serviced. $2000 a peice or $4000 for the pair. Comes with handguards, luggage rack and clean titles."
