mileage,price,BIke name,Types and Used Time,description
996 miles,"$18,795 ",Hayabusa,  2022 Suzuki Sportbike,"2022 Suzuki Hayabusa, 2022 Suzuki Hayabusa"
,"$6,590 ",RM-Z450,  2021 Suzuki Mx,"The 2021 RM-Z450 remains the champion’s choice, as its sleek, race-ready appearance, strong engine, and nimble chassis continue the Suzuki tradition of extraordinarily precise handling."
"3,258 miles","$6,299 ",SV650,  2020 Suzuki Standard,
"10,225 miles","$14,499 ",V-Strom 1050XT,  2020 Suzuki Dual Sport,"2020 Suzuki V-Strom 1050XT, Stock #3214 2020 Suzuki V-Strom 1050XT ready to hit the road! this bike is set up! Hard bags, soft bags, all the goodies... owned by an older gentleman who has decided to hang up the chaps! Well cared for, low miles and completely kitted out the way you want it!Presented by: ADDICTIVE BEHAVIOR MOTOR WORKS (Dealer #441A) One of Utah’s largest selection of   Motorcycles/Powersports Financing & Extended Warranties available (Call for Details) 454 South 500 West, Salt Lake City • 801-839-3999 • www.abmotorworks.com"
217 miles,"$13,999 ",Boulevard M109R B.O.S.S.,  2020 Suzuki Cruiser,"2020 Suzuki Boulevard M109R B.O.S.S., 2020 Suzuki Boulevard M109R B.O.S.S."
"1,725 miles","$9,995 ",Boulevard M90,  2019 Suzuki Cruiser,"2019 Suzuki Boulevard M90, For Information and Availability text us at 817-421-4663 and our Rapid Response Team will text or call you back!  2019 Suzuki Boulevard M90"
"17,871 miles","$5,977 ",V-Strom 650XT Touring 650XT ABS,  2019 Suzuki Dual Sport,"Renowned for its versatility, reliability, and value, the V-Strom 650 has attracted many riders who use it for touring, commuting, or a fun ride when the spirit moves them. It is a touchstone motorcycle balanced with a natural riding position, comfortable seat, and a flexible engine character that produces stress-free riding during brief daily use or a high-mile adventure. The 2019 V-Strom 650 shares the profile of the V-Strom 1000, unifying the V-Strom family. This V-Strom has stellar engine performance and great fuel economy while achieving worldwide emission standards. A number of engineering accomplishments result in low weight and a thin chassis, producing a V-Strom that is more versatile, more controllable, and more accessible to elevate its total performance so it’s simply “more V-Strom.” And that’s what a rider wants: more of a good ride."
"1,849 miles","$6,288 ",V-Strom 1000,  2018 Suzuki Dual Sport,"Introduced in 2002, the V-Strom 1000 expanded the popularity of motorcycles in the adventure-category. When a more proficient V-Strom 1000 debuted in 2014, it was also embraced by riders around the world. To reemphasize the V-Strom’s leadership in this category, Suzuki applies new technology and practical experience to the new 2018 V-Strom 1000."
"11,485 miles","$10,999 ",Boulevard M109R B.O.S.S.,  2017 Suzuki Cruiser,"2017 Suzuki Boulevard M109R B.O.S.S., 2017 Suzuki Boulevard M109R B.O.S.S."
"10,975 miles","$14,000 ",GSX-R 1000R ABS,  2017 Suzuki Sportbike,"Rides perfect needs nothing, with some nice tasteful upgrades. -Clean title in hand One owner-1000R model w/ ABS Quick Shifter & Blipper -No accidents -Yoshi Exhaust -Hotbodies Under-tail -Hotbodies Flush Mount Blinkers -Rear Solo Cover & Rear Seat -Double bubble smoke windshield -Shorty levers -Rizoma Stealth mirrors -Lithium-ion Battery (1 Month Old) -Frame sliders -Rapid Bike tune If you are reading this the bike is available. I will delete once it sells. $14,000 CASH - NOT INTERESTED IN TRADES, I JUST PURCHASED ANOTHER BIKE."
"8,141 miles","$13,990 ",Hayabusa,  2017 Suzuki Sportbike,2017 Hayabusa
"18,371 miles","$4,999 ",BOULEVARD C 50 C50,  2009 Suzuki Cruiser,Displacement:
3 miles,"$13,999 ",Boulevard M109R B.O.S.S.,New 2023 Suzuki Cruiser,
3 miles,"$14,499 ",GSX-R1000,New 2023 Suzuki Sportbike,
,"$12,499 ",V-Strom 800DE Adventure 1050DE ADVENTURE,New 2023 Suzuki Standard,
,"$11,895 ",DL1050RCM2,New 2022 Suzuki Dual Sport,"2022 SUZUKI DL1050RCM2, Close-Out Specials Now On! Take advantage of us and save HUGE! BRAND NEW - FOR SALE! No Bull - Best Prices! We lose - You WIN! Suzuki's AWESOME new Adventure bike the V-Strom 1050XT! Close-Out pricing will not last. We need to make our factory goals and generate more allocations in the future as a new dealer for Suzuki, so you save huge, and get the best deal on the East Coast! Special Sale Priced units are only for real Cash buyers (not credit or debit cards) or if you let us show you how we can save you money by taking advantage of our many great factory backed financed sources! #SuzukiMotorcycles #CapitalPowersports. (Manufacturer’s Suggested Retail Price) price includes any factory incentives applicable at time of sale. Our Sales prices do not include state sales tax, vehicle tag/title/registration fees, dealer documentation fee, or factory freight or surcharges, or dealer set-up costs if they apply to this vehicle. Note: Sales Team can let you know about availability if this unit gets sold or potential option. 95% of all vehicles are pre-selling before arrival! We have a new state of the Art Service Dept with certified Gold & Silver level powersport technicians for assembly, prep., and inspection facility and all units are inspected by certified technician before sale. Model availability, pricing, equipment, specifications, and photos presented are believed to be accurate to the best of or knowledge and are subject to change without notice. Extended protection plans, Pre-Paid Maintenance plans, Gap, Tire & Wheel available on all new vehicles as applicable. The pricing, equipment, specifications, and photos presented are believed to be accurate to the best of or knowledge and are subject to change without notice. Note: For the most accurate information on our vehicles for sale and our great deals go to our website at www.capitalpowersports.com or contact our Sales Team at 919-719-0700 direct for all the details. We are not responsible for incorrect pricing or availability information if you have found this unit on search engine site that is not connected to us directly. Se habla espanol. We buy and take in on trade Motorcycles, Personal Watercraft, ATV’s, & UTV’s! Find us on Facebook and Instagram too! info@capitalhps.com [Update: Since early 2022 when the pandemic began, and the subsequent production, supplier, and logistical challenges in transportation, continual increases in both Freight and Surcharges, and high fuel cost, have continued to rise making it challenge for all dealers in pricing. Freight and Surcharges continue to change so we recommend direct contact with our internet sales or on location sales staff to get the current exact cost information. We apologize for these continued cost increases. We NEVER charge more than what the factory charges us to our customers. You can view the current information via each manufacture website under model details.]"
3 miles,"$6,999 ",GSX-S750,New 2022 Suzuki Sportbike,
405 miles,"$7,999 ",GSX-S750Z ABS,  2022 Suzuki Sportbike,"2022 Suzuki GSX-S750Z ABS, REDUCED $7999.00! FRESHLY SERVICED! READY TO GO!!!! LIKE BRAND NEW! PHONE MOUNT, HIGH PERFORMANCE FULL EXHAUST, CARBON FIBER REAR COWL, SIDE MIRROR AND FENDER ELIMINATOR KIT! ONLY 405 MILES. CALL, TEXT, OR VISIT BREWER CYCLES TODAY!  2022 Suzuki GSX-S750Z ABS"
,"$5,988 ",RM-Z250,New 2022 Suzuki Dirt Bike,"2022 Suzuki RM-Z250, 2022 Suzuki RM-Z250"
,"$2,209 ",DR-Z50,New 2022 Suzuki Dirt Bike,"The 2022 Suzuki DR-Z50 is the ideal way to introduce young beginning riders to the sport of motorcycling. This compact, Suzuki-built mini-bike brings ease and convenience to riders just getting started on two wheels. With an automatic clutch, three-speed transmission, electric starting, and a low 22-inch seat height, this race-styled bike will help build confidence and riding ability for young, supervised riders. The 49cc engine delivers a smooth, controllable power band, and adult supervisors can adjust its power level so young riders can learn at a proper pace."
,"$6,299 ",DR-Z400SM,New 2022 Suzuki Competition,"$1,300.00 OFF MSRP! IN STOCK! CALL NOW 916-428-4040!Large Inventory + Low Overhead = Better Deals!*price plus fees"
675 miles,"$8,750 ",V-STROM 650 ABS,  2022 Suzuki Dual Sport,"Purchased brand-new last summer, this 650 V-strom with less than 700 miles for sale in Massachusetts. Perfect running condition. Just had its first Suzuki-mandated maintenance. Was stored indoors, plugged in, and covered over the winter at local shop. Added GIVI engine guard, skidplate and hand-protection (see pics). I have trailer to tow it behind car/SUV/RV for sale, also. Preference given to good, quick offers. Can drive to meet you with it on the trailer up to 300 miles. If you're on the fence, please reach out -- no reasonable offers ref . Super-fun on- and off-road. Great bike for all shapes-and-sizes. Get it out for the summer!"
,"$6,190 ",RM-Z250,  2021 Suzuki Mx,"The choice of wise professionals and privateers everywhere, the 2021 RM-Z250 is ready for battle. The agile RM-Z250 combines the sleek, race-ready appearance of the RM-Z450 with a versatile engine and responsive chassis to deliver superior performance. Using Suzuki’s “RUN, TURN and STOP” philosophy, factory engineers have made the RM-Z250 a formidable competitor."
"9,729 miles","$7,999 ",V-STROM 650 ABS,  2020 Suzuki Touring,"2020 Suzuki V-STROM 650 ABS , ,"
"12,001 miles","$7,699 ",GSX-S750Z,  2019 Suzuki Standard,"2019 Suzuki GSX-S750Z, 2019 Suzuki GSX-S750Z"
"8,344 miles","$3,497 ",Boulevard M90,  2009 Suzuki Cruiser,
"30,619 miles","$3,999 ",Boulevard C90T,  2005 Suzuki Cruiser,"2005 Suzuki Boulevard C90T,   SUZUKI C90T BOULEVARD 1,500 CC BIG BORE CRUISER FOR SALE WITH $1,500 IN EXTRAS!    SUZUKI C90T BOULEVARD 1,500 CC BIG BORE CRUISER FOR SALE WITH $1,500 IN EXTRAS! CLEAN, CLEAN, CLEAN! CHROME WHEELS, SADDLE BAGS, BACKREST, ENGINE GUARDS, HIGHWAY PEGS, 2 INTO 1 EXHAUST, AND TONS OF CHROME! THIS IS ONE SHARP 1,500 CC BIG BORE CRUISER! NO DENTS, NO DINGS, NO SCRATCHES! JUST SERVICED AT A FACTORY-AUTHORIZED DEALERSHIP, INSPECTED, ALL FLUIDS CHANGED, AND READY TO RIDE! RUNS STRONG, EVERYTHING WORKS, NEEDS NOTHING! BUY WITH CONFIDENCE!"
"10,318 miles","$5,800 ",GS 1100ES,  1983 Suzuki Classic / Vintage,"1983 Suzuki GS1100 ESD 10,400 original miles, factory original except exhaust (do not have), new brake lines front and rear with an additional complete set of new white Galfer lines. Currently has K&N air pods installed but I have the original air box and boots. New AGM battery and too many new parts to list. I have owned the bike for 6 years and was bought from Kaplan Cycles. If you google “1983 Suzuki GS1100 ES” a Youtube video will come up of this bike. Dunlop D404 tires were installed in 2016. Carbs were sonic cleaned and rebuilt in 2016. Tank is clean inside with minimal flash rust at neck. The entire brake system has been rebuilt. I have removed the “anti-dive” fork units as they are useless however they are in working condition and can be easily re-installed. Purchase includes Condor rolling stand, front and rear pit stands. I have the original Cycle World issue dated September 1983 showing this to be the fastest production bike made (at the time) and the first production bike to break into the 10’s in the ¼ mile. I am thinning out the herd as I approach 60. Bike has been stored in a climate controlled area for at least the last 8 years and is in excellent condition for 40 years old. Clean GA title. PENDING SALE"
,"$8,199 ",V-Strom 650,New 2023 Suzuki Sport Touring,"2023 SUZUKI V-Strom 650, INCLUDES SUZUKI OEM ALUMINUM TOP CASE INSTALLED!!   Key Features"
,"$12,849 ",GSX-R750,New 2023 Suzuki Sportbike,"Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750 in 1985. Today, the 2023 GSX-R750 continues Suzuki’s tradition of building Supersport bikes powered by a strong engine carried in a lightweight and nimble chassis."
,"$11,699 ",GSX-R600,New 2023 Suzuki Sportbike,"Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750 in 1985, and later expanded GSX-R lineage with the addition of the GSX-R600. The 2023 GSX-R600 embodies Suzuki’s tradition of blending race-winning capability with impeccable street manners."
1 miles,"$7,799 ",DR-Z400SM,New 2023 Suzuki Custom,"Suzuki's 2023 SuperMoto DR-Z400SM is based on the proven DR-Z400S. So it combines Supermotard style and features in a narrow, lightweight, street-legal package. This bike brings off-road soul and fun to paved roads. It’s not uncommon to take the SuperMoto down a twisty forest road, around tight canyon corners, or through commuter traffic."
,"$10,990 ",GSX-R600,New 2023 Suzuki Sportbike,"Suzuki revolutionized the sportbike category with the introduction of the original GSX-R750 in 1985, and later expanded GSX-R lineage with the addition of the GSX-R600. The 2023 GSX-R600 embodies Suzuki’s tradition of blending race-winning capability with impeccable street manners."
1 miles,"$15,599 ",Boulevard M109R B.O.S.S.,New 2023 Suzuki Cruiser,"2023 Suzuki Boulevard M109R B.O.S.S.,  4-stroke, DOHC, 54 deg., V-twin  1783cc  4.409 in. x 3.563 in. (112.0 mm x 90.5 mm)  Liquid  10.5:1  Fuel injection with SDTV  Electronic ignition (transistorized)  5-speed constant mesh  Shaft drive  Inverted telescopic, coil spring, oil damped  Link style, solo shock, coil spring, oil damped  Disc brake, twin  Disc brake  130/70R18 M/C (63V), tubeless  240/40R18 M/C (79V), tubeless  67.3 in. (1710 mm)  27.8 in. (705 mm)  5.2 US gal. (19.5 L)  Curb Weight: 764 lb. (347 kg)  Metallic Triton Blue / Glass Sparkle Black, Candy Daring Red / Glass Sparkle Black"
"1,062 miles","$16,899 ",GSX1300RRM2,  2022 Suzuki Custom,"2022 Suzuki GSX1300RRM2,"
,"$17,495 ",HAYABUSA w/full Yoshimura Exhaust (GSX1300R),New 2022 Suzuki Sportbike,"2022 SUZUKI HAYABUSA w/full Yoshimura Exhaust (GSX1300R), Close-Out Specials Now On! Take advantage of us and save HUGE! No Bull - Best Deal! We lose - You WIN! Now on HUGE SALE saving you nearly $3000 Off regular price including the full exhaust add-on!! So its like you are getting the Full Yosh Exhaust system for free plus saving YOU an additional $1000+! Close-Out pricing while unit last, only one at this price due to age. We need to make our factory goals and generate more allocations in the future as a new dealer for Suzuki, so you save huge, and get the best deal on the East Coast! Compare and see! Sales are very rare these days in this market, especially huge close-out deals like this one, so take advantage of us while you can! Yoshimura Full Exhaust added to this bike. MSRP = MSRP ($18,599) + Exhaust System ($1331.99) + install labor ($524.97) = $1,856.96 total part including install. Total bike DSRP with add-on = $20,455.96. #SuzukiMotorcycles #CapitalPowersports. (Manufacturer’s Suggested Retail Price) price includes any factory incentives applicable at time of sale. Our Sales prices do not include state sales tax, vehicle tag/title/registration costs, dealer documentation charge, factory freight and (if applicable) fuel surcharges, and dealer assembly & inspection costs for this vehicle. Note: Sales Team can let you know about similar units or future shipments if this one is sold. 75% of all vehicles are pre-selling before arrival! We have a new state of the Art Service Dept with certified Gold & Silver level powersport technicians for assembly, prep., and inspection facility and all units are inspected by certified technician before sale. Model availability, pricing, equipment, specifications, and photos presented are believed to be accurate to the best of or knowledge and are subject to change without notice. Extended protection plans, Pre-Paid Maintenance plans, Gap, Tire & Wheel available on all new vehicles as applicable. The pricing, equipment, specifications, and photos presented are believed to be accurate to the best of or knowledge and are subject to change without notice. Note: For the most accurate information on our vehicles for sale and our great deals go to our website at www.capitalpowersports.com or contact our Sales Team at 919-719-0700 direct for all the details. We are not responsible for incorrect pricing or availability information if you have found this unit on search engine site that is not connected to us directly. Se habla espanol. We buy and take in on trade Motorcycles, Personal Watercraft, ATV’s, & UTV’s! Find us on Facebook and Instagram too![Update: Since early 2022 when the pandemic began, and the subsequent production, supplier, and logistical challenges in transportation, continual increases in both Freight and Surcharges, and high fuel cost, have continued to rise making it challenge for all dealers in pricing. Freight and Surcharges continue to change so we recommend di"
1 miles,"$4,499 ",Burgman 200,New 2022 Suzuki Scooter,"2022 Suzuki Burgman 200, Brand new 2022 Suzuki Burgman 200 scooter is in stock! Automatic. On Sale! Call/Click today for details.  2022 Suzuki Burgman 200"
"6,000 miles","$16,299 ",GSX-R 1000R,  2020 Suzuki Sportbike,"2020 Suzuki GSX-R 1000R that's never been dropped with no lien. Custom full system Yoshimura exhaust that shoots fire on downshifts, bi-directional quickshifter that sounds amazing, Yoshimua license plate cover and tail fender eliminator, custom Yoshimura sequential turn signals, Rizoma stealth mirror winglets, rear seat cover, and the bike was tuned by Moore Mafia. The bike has a lot of modifications and is definitely more race-built than other gixxers, for sure much better speed and handling than a stock. I am asking for $16,299 but the price can be negotiated. Please text 313-939-9000 for more information, thank you."
"1,836 miles","$16,499 ",GSXR1000R,  2018 Suzuki Sportbike,
"2,392 miles","$11,800 ",BOULEVARD M109R B.O.S.S.,  2018 Suzuki Cruiser,"This bike is like new with very low miles. It was not   very much. The registration is current. The coolant was recently changed and a new battery installed. This is a hearty and muscular bike with excellent performance. You get the speed and performance of a street bike with the comfort of a cruiser. This M109R has a powerful V-twin engine with some of the largest pistons in the industry. This 109 cubic inch engine is wrapped with sleek blacked-out styling. This bike is not just about looks, but an exceptionally comfrtable ride."
"6,319 miles","$9,795 ",V STROM 1000XT,  2018 Suzuki Dual Sport,
"10,300 miles","$8,590 ",GSX-R600,  2015 Suzuki Sportbike,"The Suzuki GSX-R600 continues its dominance in the AMA Pro Road Racing series, taking all 600cc championships in 2012 - including the Daytona Sportbike, Supersport West, and Supersport East. This further solidifies the GSX-R600 as part of a race-winning line of motorcycles from coast to coast. Commemorating Suzuki’s 2015 return to MotoGP racing, the new GSX-R600 is dressed in Suzuki Racing Blue to express Suzuki’s spirit and passion for racing."
"16,520 miles","$6,999 ",DL,  2015 Suzuki Dual Sport,"This bike can take you anywhere you want to go. Dirt, mud, gravel, pavement. It's got plenty of power and can serve as a beginner bike or experienced rider. It's been a great bike to me, I just currently don't have much time for it.Comes with:Saddle bags(2 sides + rear)Heated handgrips(love these)ABS on/off switchGarmin GPSHandgrip guardsFoldable highway pegs(love these)Gel seat, still have the old one tooFeel free to ask any questions"
,"$15,000 ",HAYABUSA 1300,  2013 Suzuki Sportbike,"1 adult owner, garage kept, never raced, never been down.New custom paint New tiresnew complete fluid changenew fork seals4-8 Velocity Racing swingarm6"" tailloweredCore moto hydraulic lines throughout Dyno tunedFront and rear PitBull standsBattery Tenderbike specific toolsfactory shop manual All goes same time, should be about everything you need. Check pictures of tools for item I forgot to note."
"2,000 miles","$5,700 ",BOULEVARD C50,  2008 Suzuki Touring,"Beautiful Suzuki Boulevard has two different additional rear seat options that come with the bike. Extremely well-maintained garage kept. Bike comes with two helmets with mounted wireless headphones, jackets (his and hers) and a motorcycle jack."
"26,800 miles","$10,000 ",HAYABUSA GSX 1300,  2006 Suzuki Sportbike,"One-of-a-kind 2006 Hyabusa. This bike is custom throughout, it has and extended swing-arm with a huge fat tire kit on the rear, custom made exhaust, custom wheels, and a lot more.The stretched wheelbase comined with the fat tire and beast of an engine makes this bike incredible smooth.The rear does have air-ride suspension, however, there is a slow leak somewhere because the bike will lower after about 30 minutes. It may just be a seal, but I don't have the time to put into it. If I was going to keep it, I was planning on swapping over to a rear shock.Other than that, the bike is in great condition with an incredible rumble and unreal power.Asking $10,000"
"1,495 miles","$6,350 ",Burgman 650,  2003 Suzuki Scooter,2003 Suzuki Burgman 6501450 original miles includes:Monokey trunk Newer tiresRecent fluids changeService manualCoverPrice negotiable
648 miles,"$14,990 ",VZR1800BZM3 C50 T B.O.S.S.,  2023 Suzuki Cruiser,"2023 Suzuki VZR1800BZM3,"
,"$2,999 ",RM85,New 2023 Suzuki Dirt Bike,"2023 Suzuki RM85, Brand new 2023 Suzuki RM85 2 stroke is in stock and on sale. Call/Click today to get yours. On sale. Sale ends 04/29/2023  2023 Suzuki RM85"
,"$18,799 ",Hayabusa,New 2023 Suzuki Sportbike,"The Suzuki Hayabusa has firmly established its status as motorcycling’s Ultimate Sportbike. The 2023 version of Suzuki’s flagship sportbike is propelled by a muscular, refined inline four-cylinder engine ho  in a proven and thoroughly updated chassis with incomparable manners, managed by an unequaled suite of electronic rider aids within stunning aerodynamic bodywork that is distinctly Hayabusa."
,"$7,799 ",DR-Z400SM,New 2023 Suzuki Dual Sport,"Suzuki's 2023 SuperMoto DR-Z400SM is based on the proven DR-Z400S. So it combines Supermotard style and features in a narrow, lightweight, street-legal package. This bike brings off-road soul and fun to paved roads. It’s not uncommon to take the SuperMoto down a twisty forest road, around tight canyon corners, or through commuter traffic."
1 miles,"$12,849 ",GSX-R750,New 2023 Suzuki Sportbike,2023 GSX-R750
,"$7,799 ",DR-Z400SM,New 2023 Suzuki Competition,
,"$7,799 ",DR-Z400SM,New 2023 Suzuki Competition,
,"$15,849 ",GSX-R 1000,New 2022 Suzuki Standard,"2022 SUZUKI GSX-R 1000, PRICE DOES NOT INCLUDE FREIGHT AND PREP COSTS OF $889"
,"$8,999 ",RM-Z450,New 2022 Suzuki Dirt Bike,"2022 Suzuki RM-Z450, REBATES AVAILABLE!!!! CUSTOMER CASH AND $250 MILITARY CASH IF YOU QUALIFY. PRICE IS BEFORE FRIEGHT  2022 Suzuki RM-Z450"
,"$7,599 ",DR-Z400SM,New 2022 Suzuki Dual Sport,"Suzuki's 2022 SuperMoto DR-Z400SM is based on the proven DR-Z400S. So it combines Supermotard style and features in a narrow, lightweight, street-legal package. This bike brings off-road soul and fun to paved roads. It's not uncommon to take the SuperMoto down a twisty forest road, around tight canyon corners, or through commuter traffic."
,"$8,999 ",RM-Z450,New 2022 Suzuki Dirt Bike,"2022 Suzuki RM-Z450, $1,500 IN REBATES ARE AVAILABLE!! CUSTOMER CASH AND $250 MILITARY CASH IF YOU QUALIFY. PRICE IS BEFORE FREIGHT  2022 Suzuki RM-Z450"
,"$7,599 ",DR-Z400SM,New 2022 Suzuki Competition,"Suzuki's 2022 SuperMoto DR-Z400SM is based on the proven DR-Z400S. So it combines Supermotard style and features in a narrow, lightweight, street-legal package. This bike brings off-road soul and fun to paved roads. It's not uncommon to take the SuperMoto down a twisty forest road, around tight canyon corners, or through commuter traffic."
"5,316 miles","$13,500 ",HAYABUSA 1300R,  2020 Suzuki Sportbike,"Busa is garage kept. Clean title in hand. Currently have 5,613 miles, but will continue to go up as I'm still actively riding until it's sold. The only aftermarket add-ons is Two Brothers M2 Exhaust, which gives it a rich and deep sound. The only gotcha is the tip of the clutch lever is broke, which can easily be replaced."
"11,868 miles","$9,500 ",GSX-R 600,  2018 Suzuki Sportbike,"***1 owner, clean title in hand, NO LIENS***Selling this beauty! Has 11,858 miles.Never been dropped.Few scratches on left seat side from my boots not being able to kick my leg around.Everything is still stock.Only customized design is LED rgb lights.Clean oil change done by me every 5,000 miles.Asking $9500, willing to negotiate. It's time for her to bring someone else happiness. Send me a message if you're Interested and we can setup a time for you to come check out the bike, thanks."
"7,585 miles","$4,499 ",DR-Z400S,  2016 Suzuki Dual Sport,"2016 Suzuki DR-Z400S, 2016 Suzuki DR-Z400S"
5 miles,"$9,499 ",GSX-R600,  2016 Suzuki Sportbike,"2016 Suzuki GSX-R600, 2016 Suzuki GSX-R600"
"28,000 miles","$8,300 ",V-STROM 1000 ABS,  2014 Suzuki Touring,"2014 vstrom 1000. 28,000 miles. Air filter was replaced last winter. Dunlop trail max mission tires with plenty of life left. I am the second owner and have owned it since 2018 when it had 7,000 miles and have not had a single issue. Great bike that needs nothing just upgraded to a new bike. Has the following accessories. -sargent seat (also have the stock one) -vstream tall windshield -vstream mid windshield (also have stock) -footpeg lowering brackets -handlebar risers -givi saddlebag mounts -givi saddlebags -givi top case -givi crash bars -givi radiator guard -oem handguards -oem splash sheild -oem center stand -windshield bracket ram mount -Denali power hub accessory fuse box -led rear turn signals with tail/brake function -oxford heated grips Update: today (2/23/23)-front brake fluid flushed -rear brake fluid flushed -clutch fluid flushed -oil and filter changed Any questions don't hesitate to ask. More pictures upon request. This bike needs nothing!"
,"$7,749 ",DR-Z400SM,New 2023 Suzuki Dual Sport,"Suzuki's 2023 SuperMoto DR-Z400SM is based on the proven DR-Z400S. So it combines Supermotard style and features in a narrow, lightweight, street-legal package. This bike brings off-road soul and fun to paved roads. It’s not uncommon to take the SuperMoto down a twisty forest road, around tight canyon corners, or through commuter traffic."
,"$11,799 ",GSX-R600,New 2023 Suzuki Sportbike,"2023 Suzuki GSX-R600, 2023 Suzuki GSX-R600"
1 miles,"$3,349 ",DR-Z125L,New 2023 Suzuki Dirt Bike,"2023 Suzuki DR-Z125L, 2023 Suzuki DR-Z125L"
,"$12,849 ",GSX-R750,New 2023 Suzuki Sportbike,"2023 Suzuki GSX-R750, 2023 Suzuki GSX-R750"
1 miles,"$11,699 ",GSX-R600,New 2023 Suzuki Sportbike,Mountain Motorsports- Over 50 Years of Great Customer Service!!
,"$2,209 ",DR-Z50,New 2022 Suzuki Dirt Bike,"2022 Suzuki DR-Z50, The 2022 Suzuki DR-Z50 is the ideal way to introduce young beginning riders to the sport of motorcycling. This compact, Suzuki-built mini-bike brings ease and convenience to riders just getting started on two wheels. With an automatic clutch, three-speed transmission, electric starting, and a low 22-inch seat height, this race-styled bike will help build confidence and riding ability for young, supervised riders. The 49cc engine delivers a smooth, controllable power band, and adult supervisors can adjust its power level so young riders can learn at a proper pace.This motorcycle can be in the family for years, thanks to its rugged construction and sturdy 10-inch wheels; the Suzuki DR-Z50 combines a reliable engine with quality running gear that's built to last. The DR-Z50 is the ideal way to get your whole family involved in motorcycling!Engine FeaturesPowered by a reliable, 49cc, four-stroke engine, the DR-Z50 has plenty of torque to deliver the right level of controllable performance for a younger rider.The DR-Z50's engine has a smooth power band with peak power that can be controlled via the adjustable throttle limiter that allows supervising adults to control engine output to suit the rider's ability.Starting the DR-Z50 requires a simple push of the electric start button. Riders can also kick-start the bike, so a fun day of riding is always available.Adult supervision is essential, so young riders get off to a safe and fun start to motorcycling. The DR-Z50 provides the security of a keyed ignition, so the engine can't run unless an adult has switched it on.Clean-burning four-stroke engine is EPA Emissions compliant.The 2022 DR-Z50 is eligible for California Green Sticker Off-Road registration.Spark-arrestor equipped muffler is environmentally friendly, yet has a pleasant exhaust note.Transmission FeaturesThe easy-to-use automatic clutch smoothly transmits power through the three-speed transmission, so beginning riders learn key-shifting techniques, while discovering the joy of riding.Chassis FeaturesInverted front forks have a RM-Z-inspired design to produce enjoyable riding on a variety of terrain surfaces, with 3.8 inches of front wheel travel to absorb bumps.Aggressive RM-Z-inspired styling with bright yellow bodywork and complementary black, blue, and red graphics let the rider enjoy a big bike look and appeal.Don't be fooled by the DR-Z50's light weight: It has a durable steel frame and swingarm designed to carry a wide range of riders and can easily tackle a variety of riding conditions.Low 22-inch seat height puts entry-level riders at ease. A slightly forward-leaning riding position allows for maximum rider mobility.Strong braking performance is provided by front and rear drum brakes. Adjustable front brake lever fits a variety of different-sized hands for optimum young rider control.Safety InformationThe DR-Z50 is design"
,"$8,999 ",RM-Z450,New 2022 Suzuki Dirt Bike,"2022 Suzuki RM-Z450, $1,500 IN REBATES ARE AVAILABLE!! CUSTOMER CASH AND $250 MILITARY CASH IF YOU QUALIFY. PRICE IS BEFORE FREIGHT  2022 Suzuki RM-Z450"
977 miles,"$13,999 ",V-STROM 1050 ABS XT CA 1050XT,  2020 Suzuki Sport Touring,"2020 SUZUKI V-STROM 1050 ABS XT CA,"
"2,403 miles","$7,995 ",DRZ-400 SM BASE,  2020 Suzuki Dual Sport,"2020 Suzuki DRZ-400 SM, 2020 Suzuki DRZ 400 SM- Gray/ Blue, D & D exhaust, Jet Kit, Clear Turn Signals, Undertail Kit, Backpack, ***NO HIDDEN FEES! *** *$199.00 Document Fee, plus Tax, Tags and Highway Use Fee! *Financing available! * We are a family owned and operated business that has over 25 years of experience in the motorcycle industry. We offer customization, race and performance modifications. We can modify your bike in any fashion to suit your style. *Call 336-300-8044 or visit www.stevegarwoodmotorsports.com Visit us at Steve Garwood Motorsports 510 National Blvd. Lexington, NC 27292"
"5,290 miles","$6,850 ",Burgman 400,  2020 Suzuki Scooter,"2020 Suzuki Burgman 400, 2020 Suzuki Burgman 400"
"2,405 miles","$4,180 ",BURGMAN 200 ABS,  2020 Suzuki Scooter,"Fun, high-gas mileage, well maintained and easy to ride Suzuki Burgmann 200 ABS with clean title - originally purchased in the hopes of being a 2-car household, didn't work - we're a 3-car household anyway now so as fun as it is the Suzuki is no longer needed. Gets 75/mpg.Helmet is required for a test ride and must leave behind car keys or driver's license. Cash only no digital transactions though I am happy to take a cashier's check issued from your bank --- in my physical presence --- where I will meet you and exchange money for title and notarize the title on the spot. This is how I purchase vehicles from private sellers - in the bank - it protects the sellers rights and when I am the buyer and I respect those rights and as buyer it protects mine because title is notarized on the spot. If you are a buyer and you don't agree or understand these terms of sale then do not contact me, you will be wasting your time. For more information and to arrange a visit text Dan: 602-405-2339"
