mileage,price,Bike,Types and Used Time,description
,"$8,999 ",300 XC TPI,New 2022 KTM Dirt Bike,"2022 KTM 300 XC TPI, 2022 KTM 300 XC TPI"
1 miles,"$6,799 ",390 Adventure,New 2022 KTM Sportbike,"2022 KTM 390 Adventure, 2022 KTM 390 Adventure"
5 miles,"$5,799 ",RC 390,New 2022 KTM Sportbike,
350 miles,"$11,995 ",350 EXC-F,  2020 KTM Dual Sport,"One owner. Purchased new in 2020. Has 350 miles. Garage Stored.Over $3000 invested in parts, not including labor. Parts purchased are: fuel management system, six days air filter cover, suspension upgrade (front & rear), two rim locks per rim (tires & rims are balanced), flex handlebars, handlebar risers, bark busters, seat upgrade, white plastics, mirror, gel grips, after market rear disc brake guard.All OEM parts come with the bike, and they are: the fuel management system, thirteen tooth front sprocket, rear shock and spring, seat, handlebars, mirrors, bark busters, orange plastics, 4 KTM engine oil filters, 2 extra tires."
,"$7,499 ",450 SX-F Factory Edition,  2019 KTM Dirt Bike,"2019 KTM 450 SX-F Factory Edition, 2019 KTM 450 SX-F Factory Edition"
"14,200 miles","$4,350 ",390 DUKE,  2017 KTM Sportbike,"Selling my 2017 KTM Duke 390 ABS14200 mi. I am the second owner.Bought the bike when it had 1700mi on it. This is both a great canyon carver and a daily commuter. Serviced in November 2022 with filter and oil change, then been in the garage since except for 3 short trips. Tires are Dunlop Sportmax GPR-300.Was put on last September. Never been dropped. Upgrades:Yosimura Tail TidyAkrapovic Slip-onKTM Ergo Rider and passenger seatKTM Bluetooth enabledLED Turn SignalsHandlebar mirrorUSB ChargerHelmet Lock Comes with all original paperwork, spare set of keys, a set of saddle bags, and sun/rain/dust cover. Pink slip in hand.Clean Title Registration is good through 09/2023."
,"$2,499 ",85 SX 17/14,  2015 KTM Dirt Bike,"2015 KTM 85 SX 17/14, 2015 KTM 85 SX 17/14"
,"$8,799 ",250 XC-W,New 2023 KTM Dirt Bike,"2023 KTM 250 XC-W,    Engine & Exhaust"
,"$8,999 ",Freeride E-XC,New 2023 KTM Dirt Bike,"2023 KTM Freeride E-XC, SELLING OUT FAST CALL FOR AVAIL. NO freight added to this model! We list OTD prices to make you purchase easy. All bikes will have the OTD price posted including Texas taxes and and title fee's for Texas residents. Largest volume sales dealer in Region. Largest OEM AND AFTERMARKET KTM, GasGas and Husqvarna parts selection in Texas. Also comes with customer loyalty discount on parts after the sale. Please ask about how to join the team to continue parts discount program. Custom Graphics printed on site as well. We support the brands we sell. 2023 KTM Freeride E-XC"
,"$5,399 ",85 SX 17/14,New 2023 KTM Dirt Bike,"2023 KTM 85 SX 17/14, Price includes freight, surcharge, assembly and prep. + DMV and Docs fees. After all promos. Call or text 503-769-8888  2023 KTM 85 SX 17/14"
,"$10,899 ",450 SX-F,New 2023 KTM Dirt Bike,"2023 KTM 450 SX-F, 2023 KTM 450 SX-F"
,"$12,499 ",500 EXC-F Six Days,New 2023 KTM Dirt Bike,"2023 KTM 500 EXC-F Six Days, 2023 KTM 500 EXC-F Six Days"
,"$20,299 ",1290 Super Adventure S,New 2023 KTM Standard,
5 miles,"$12,549 ",500 EXC-F,New 2023 KTM Dual Sport,
,"$7,699 ",150 XC-W,New 2023 KTM Dirt Bike,
,"$8,599 ",250 XC,New 2023 KTM Dirt Bike,
12 miles,"$9,150 ",Freeride E-XC,  2022 KTM Sportbike,"2022 KTM E-XC Freeride. Like new. Under 13hrs. Maxxis iT-Desert tires. Front number plate. Original headlamp, handguards and taillight included. Registration until June 2024."
,"$8,599 ",250 XC TPI XC-W TPI,New 2022 KTM Dirt Bike,"2022 KTM 250 XC TPI,   Engine & Exhaust"
,"$10,499 ",890 Duke GP,New 2022 KTM Sportbike,"2022 KTM 890 Duke GP, 2022 KTM 890 Duke GP"
,"$4,799 ",RC 390,New 2022 KTM Sportbike,"2022 KTM RC 390, 2022 KTM RC 390"
,"$8,999 ",450 XC-F,New 2022 KTM Dirt Bike,"2022 KTM 450 XC-F, 2022 KTM 450 XC-F"
,"$17,400 ",890 ADVENTURE R,  2022 KTM Dual Sport,"For Sale- 2022 MINT 890 Adventure R. with lots of upgrades. including: Acrpovic slip[ on, Pegs, Wind Screen, Seat Concepts seat, Hand brush guards, brake and clutch levers, Paid to have the Cruise Control and RALLY MODE, REKLUSE Clutch,Brush Guard. The Bike is brand NEW condition. Garage Kept and not ridden. The Bike only has 86 miles on it wih tons of upgrades. My riding partner moved then did not ride the bike due to a recall on the front tire. HATE to sell this bike but not gpoing to ride alone. Please feel free to call or text me at 405-830-4499. Chris More than happy to send more photos."
"1,960 miles","$4,998 ",Adventure 390,  2020 KTM Sport Touring,"2020 KTM Adventure 390,    Engine & Exhaust"
"18,000 miles","$13,500 ",1090 ADVENTURE R,  2018 KTM Dual Sport,"This motorcycle has been ridden for the last three years mostly on paved roads. The motorcycle is in perfect condition with many add-ons. It has modified and enhanced lights, heated grips, engine block cover, windshield, PDM -power distribution system. No damage."
,"$8,997 ",450 EXC-F SIX DAYS,  2018 KTM Dirt Bike,"The 2017 KTM 450 6 Day Trail Dirtbike is the perfect machine for tackling tough terrains and conquering long-distance trails. With its ultra-lightweight frame, superior power, and advanced suspension system, this dirtbike provides unparalleled performance on all sorts of terrain. Whether you're a seasoned veteran or an up-and-coming rider, the KTM 450 6 Day Trail Dirtbike offers a thrilling ride that's sure to take your breath away. With its cutting-edge components and unrivaled power, this dirtbike will make all your off-road dreams come true. Get ready for a memorable adventure with the 2017 KTM 450 6 Day Trail Dirtbike! Excellent conditioned. Suspension adjusted to fit 5'5"" 130 pounds. (Can have stock spring put back on, if needed.) Complete and thorough maintenance done. Great operating condition. Bark busters, seat concept seat + original seat, Left hand break, rekluse clutch, different sprocket for single track. Have original sprocket and chain. Comes with over $100 of unopened oil. 2 oil filters, 3 or more spark plugs, 1-2 fuel filters, new like front and back dot tires , currently on the bike -dirt tires fairly new as well. Low miles and hours. Exellent bike. I am not a hard rider."
"16,187 miles","$13,999 ",1290 Super Adventure,  2016 KTM Sport Touring,"2016 KTM 1290 Super Adventure, 2016 KTM 1290 Super Adventure"
,"$4,750 ",450 SX-F,  2016 KTM Dirt Bike,"The mighty KTM-450SX-F. Bike of the year for several magazines in 2016. Suspension upgrades by Factory Connection. New chain, sprockets, tires, number plates. Very nice bike. Vet owned and ridden from day 1. Set up to race but never did. Ridden on practice days, trails and my track at home. This bike is ****** fast and still competitive if a person wants to race it. It has a holeshot setting in the electronics and two selections for power delivery at the thumb switch on the left handlebar. The hydrolic clutch that KTM's have is awesome! Electric start is really, really nice to have. Dang! After writing this, maybe I shouldn't sell it. Better hurry before I change my mind!! :)."
"7,911 miles","$11,500 ",1190 ADVENTURE R,  2015 KTM Dual Sport,2015 KTM 1190 Adventure RThis bike is in almost showroom condition. Dropped once and marked the crash bar on one side. Mostly run on highway and some dirt roads. Runs amazing and serviced every year. Too many accessories to list but I'll give it a try-Touratech side cases and trunk-Touratech foot pegs-Touratech gps mount and Garmin nav unit-Touratech skid plate and headlight rock guard -Cruise control-Fuel exhaust-Denali auxiliary lights-heated hand gripsI also have the stock parts and a new set of tires that go with the bike. Thanks for looking!
"8,262 miles","$6,000 ",690 DUKE,  2014 KTM Sportbike,"KTM DUKE. Great bike. Never down, one owner, kept inside and well taken care of.CAT delete, KTM powersport orange stitched seat, KTM orange sprocket, Orange powder coated wheels, orange DID chain, tail tighty. Serious inquires only, no joy rides. Fun bike."
"3,408 miles","$4,400 ",450 XCF-W,  2008 KTM Dirt Bike,
"12,252 miles","$6,990 ",990 ADVENTURE,  2007 KTM Dual Sport,"This super low mileage 990 Adventure bike is fully loaded and trail ready. Outfitted with Akropovic custom exhaust that was dealer installed and EFI mapped, it has a great sound and extra oomph! Newly installed Tusk soft saddle bags and a rear top bag are included, giving you ample room for quickly gearing up for your first adventure ride. Factory installed Clearwater Auxiliary LED lights provide you with over 12,000 lumens of trail lighting power, these lights are fully dimmable and/or horn activated to alert unwary drivers. This bike has been meticulously maintained and garage stored by me, the original owner. I am only selling because I have a new KTM 1290 Super Adventure bike that I am now riding, so rather than have her sit in the garage and collect dust, I am putting her up for sale. I hope that the new owner treats her with as much care as I have. Act fast, this bike is a real find and this listing will not last long."
1 miles,"$9,199 ",350 SX-F,New 2023 KTM Mx,
,"$8,899 ",450 SX-F,New 2023 KTM Mx,
,"$9,899 ",500 EXC-F,  2023 KTM Dirt Bike,"2023 KTM 500 EXC-F, 128755405  2023 KTM 500 EXC-F"
,"$7,399 ",390 Adventure,New 2023 KTM Dirt Bike,"2023 KTM 390 Adventure, SELLING OUT FAST CALL FOR AVAIL. NO freight added to this model! We list OTD prices to make you purchase easy. All bikes will have the OTD price posted including Texas taxes and and title fee's for Texas residents. Largest volume sales dealer in Region. Largest OEM AND AFTERMARKET KTM, GasGas and Husqvarna parts selection in Texas. Also comes with customer loyalty discount on parts after the sale. Please ask about how to join the team to continue parts discount program. Custom Graphics printed on site as well. We support the brands we sell. 2023 KTM 390 Adventure"
,"$12,549 ",500 EXC-F,New 2023 KTM Standard,
,"$9,799 ",150 XC-W,New 2023 KTM Dirt Bike,
1 miles,"$9,299 ",250 XC,New 2023 KTM Dirt Bike,
,"$8,299 ",250 XC-F,New 2023 KTM Dirt Bike,
1 miles,"$6,749 ",125 XC,New 2023 KTM Dirt Bike,
,"$5,799 ",ADVENTURE 390,New 2022 KTM Standard,"2022 KTM ADVENTURE 390,"
,"$9,999 ",890 DUKE,  2022 KTM Standard,"2022 KTM 890 DUKE,"
,"$12,000 ",300 XC-W TPI,  2022 KTM Dirt Bike,"Plated 2022 KTM 300 XCW! Tons of extras incredibly maintained. Bike has Moose inserts, FMF silencer with one ride. FMF pipe, has scotts steering stabilzer, suspension done by ESP. Oversized IMS tank, DID gold chain, KTM orange rear disc gaurd, and titanium rear sprocket with two rides. Bike also has BRP bar mounts with poly isolators, bullet broof designs swing arm gaurd, and Molecule skid plate. Comes with stock plastic, pipe and silencer."
19 miles,"$9,390 ",300 XC TPI,  2022 KTM Dirt Bike,
,"$4,294 ",RC 390,New 2022 KTM Sportbike,"2022 KTM RC 390, 2022 KTM RC 390"
,"$5,999 ",125 XC,  2022 KTM Dirt Bike,"2022 KTM 125 XC,    Engine & Exhaust"
1 miles,"$5,799 ",390 Adventure,New 2022 KTM Standard,
2 miles,"$4,799 ",RC390,New 2022 KTM Cruiser,"2022 KTM RC390,    Engine & Exhaust  Chassis"
1 miles,"$9,999 ",890 Duke GP,New 2022 KTM Sportbike,"2022 KTM 890 Duke GP, Freedom Road Financial Offer * 3.99% for 60 months at RETAIL MSRP OR $1,500 rebate off MSRP with normal financing* *Vehicles are subject to prior sale. Unit is BLACK/ORANGE. Offer can be terminated without notice and images are for illustration purposes only, accessories shown in pictures are not included in the selling price. Offer may be subject to mfg. guidelines, conditions & termination dates. Financing offer is W.A.C.: 1000-down, 229 a mo @ 9.99 A.P.R. for 60 mos. Sale price 10399 plus all applicable taxes, doc, and added dealer markup. Rebates or cashback are applied when applicable. Please note occasionally human error can occur, therefore we reserve the right to amend pricing errors without notice. See dealer for details. #842415 DMV, DOC FEES, AND SALES TAX ARE NOT INCLUDED IN OTD PRICE!   Freedom Road Financial Offer* 3.99% for 60 months at RETAIL MSRP OR $1,500 rebate off MSRP with normal financing*"
,"$7,595 ",350 XC-F,  2020 KTM Dirt Bike,"2020 KTM 350 XC-F. 91 HOURS. SECOND OWNER. FULL SKID PLATE. PRO TAPER BARS. LOWER REAR LINKAGE. MANUAL, BATTERY TENDER AND EXTRA PLASTIC, ACERBIS FRONT DISC GUARD INCLUDED. NO TRADES. CASH ONLY"
"8,000 miles","$11,500 ",790 ADVENTURE R,  2020 KTM Sport Touring,"Excellent Bike/ Ready For An Adventure2020 KTM 790 ADVENTURE R with lots of extras.A few of the upgrades are listed below.Let me know if you have any questions.I have two hard-side bags to come with the bike.Denali lights (it was $1000 to install them)Arrow Race ExhaustCruise controlHandle Bar raisers,Hight and Low SeatHead Light ProtectorAdjustable Wind ShieldSoft Bags are negotiable for an extra $ Newer Tires."
"11,500 miles","$6,200 ",790 DUKE,  2019 KTM Standard,"Most popular naked bike in Europe. Compact and lightweight like a MT07 and powerful like a MT09.Nice for city errands, nicer for highways due its quick shifter and huge powerband & torque.There are 4 riding modes: rain, city, road or track. Anti slipping, anti wheelie, selective ABS.Clean title. Never crashed. Hpcorse exhaust. Recently done KTM's 10K service: SW upgrade, changing lubes and filters, installing new tires, battery and brake pads."
467 miles,"$16,000 ",SUPER ADVENTURE 1290 R,  2018 KTM Dual Sport,"2018 KTM 1290 Super Adventure R with less than 500mi! This bike was not ridden very much and stayed in a heated garage. In fantastic like-new condition. Only blemishes are a few small scratches on the frame, and slight peeling of some of the decals."
"3,900 miles","$7,500 ",500 EXC-F,  2018 KTM Dual Sport,"2018 KTM 500 EXC-F. With Vortex ECU and FMF TITANIUM F4.1 slip on. 144 hours and 3,900 miles on the clock. Well kept, mileage from commuting 5 miles to work for a year. Selling due to not having time to ride it. Asking $7,500 negotiable. Call or text 956-206-9695 for more info."
"3,307 miles","$12,987 ",1090 Adventure R,  2018 KTM Standard,
"2,544 miles","$10,800 ",1090 ADVENTURE R,  2017 KTM Dual Sport,"2017 KTM 1090 Adventure R, Engine: 75° V-twin Only 2,544 miles***Has about 4,000+ in upgradesScotts Steerling DampnerRS4 Yoshimura PipeUpper and Lower Crash BarsAfter Market Oversized Foot PegsLuggage racks- (Musko Soft Large Bags 1,000 cost)Heated GripsPower Socket KitVoyager Pro GPS kitTouring WhinshieldHand GuardsFlip mirrorsNew tires Center StandUpgraded Intake RotwilerOversized kick stand pad. Touratech bottom Skid plateExtra gas tank on back of bike extra 1.5 gallonsfront gas tank 6.1 gallonsGPS mounting Bracket"
220 miles,"$8,500 ",350 EXC-F,  2012 KTM Dual Sport,"Like new! Really! Less than 8 total hours and 220 miles. Suspension lowered 2 inches. Scot's steering stablizer installed. A 49T rear sprocket has been swapped in. An aluminunum skid plate, motorcycel cover, the original springs and sprocket are included. Battery, fuel pump, filter, fuel injector, and air filter were replaced in October 2022. Registration has been kept current. Ready for your next adventure ride."
,"$12,999 ",690 ENDURO R,New 2023 KTM Standard,"2023 KTM 690 ENDURO R,"
,"$15,199 ",ADVENTURE 890 R,New 2023 KTM Standard,"2023 KTM ADVENTURE 890 R,"
,"$12,295 ",500 EXC-F SIX DAYS USA 500 SIX DAYS,New 2023 KTM Dual Sport,"2023 KTM 500 EXC-F SIX DAYS USA, TEAM USA REPLICA GRAPHICS - New original 2023 KTM Six Days with TEAM USA graphics kit"
,"$15,199 ",890 Adventure R,New 2023 KTM Standard,"The updated KTM 890 ADVENTURE R proves that the destination comes second. With its unmatched ability to dispatch everything from highways to rocky gravel switchbacks, to single goat tracks, the KTM 890 ADVENTURE R boasts serious travel capabilities. Thanks to its incredibly responsive powerplant, pin-sharp offroad handling, and all-day comfort, its all about the journey."
5 miles,"$10,500 ",350 EXC-F,  2023 KTM Dirt Bike,"2023 KTM EXC-F Only .9 hours. Son is off to Flight Academy and doesn't have time to ride. Comes with ramp, stand, tie-downs, Krypto lock."
3 miles,"$8,994 ",EXC-F 350 350 F,New 2023 KTM Dirt Bike,"2023 KTM EXC-F 350, 2023 KTM 350 EXC-F"
5 miles,"$15,199 ",890 Adventure R,New 2023 KTM Dirt Bike,"2023 KTM 890 Adventure R, 2023 KTM 890 Adventure R. Call sales at 919-834-5111 ext 1. *price does not include dealer prep, freight, taxes, title, registration or document fees.*  2023 KTM 890 Adventure R"
,"$8,500 ",250 XC-W,New 2023 KTM Dirt Bike,"2023 KTM 250 XC-W, 2023 KTM 250 XC-W"
5 miles,"$15,199 ",890 Adventure R,New 2023 KTM Dirt Bike,"2023 KTM 890 Adventure R, 2023 KTM 890 Adventure R. Call sales at 919-834-5111 ext 1. *price does not include dealer prep, freight, taxes, title, registration or document fees.*  2023 KTM 890 Adventure R"
1 miles,"$7,988 ",450 SX-F,New 2023 KTM Dirt Bike,"2023 KTM 450 SX-F, 2023 KTM 450 SX-F"
,"$12,999 ",SMC 690 R,New 2023 KTM Dual Sport,"2023 KTM SMC 690 R, 2023 KTM SMC 690 R"
,"$11,049 ",500 EXC-F,New 2023 KTM Standard,
,"$5,000 ",125 SX,  2022 KTM Mx,"2022 Ktm 125 sx 30 hours on bike, motor work done by Andrew Langston, port polish, Rem gear box, polished crank, high compression race piston, vortex ecu, doma pipe silencer, suspension done by Dave Smidt Performance. Fresh front and rear tires. Bikes serviced and ready to go over 19k invested in bike, 1st $5000takes it"
,"$13,000 ",350 SX-F,  2022 KTM Dirt Bike,"Almost new 15 hrs. Well maintained.Factory connection kyb spring conversion. Factory connection rear shock revalve. Can be converted to stock. $ 11,000 stock"
,"$8,500 ",250 SX,  2022 KTM Dirt Bike,"22’ KTM 250 sx Bike has 5.5 hoursBought bike new a year ago and it’s has sat while my 450 gets ridden. It’s been ridden once at LACR and once at Cal City MX. Pro-Circuit works pipe and silencer. Hinson Clutch coverGuts seat coverFastway Pro EXT pegsPro-Taper bars Brand new Dunlop MX 33 rear tire never ridden. Enduro engineering spark arrestor insert for stock silencer. Not a scratch on it. Have all stock parts that go with it. Don’t pay tax and all dealer fees. $8,500 OBOWill add better pictures soon."
,"$10,500 ",890 DUKE R,  2020 KTM Sportbike,Title in hand. Bike sits in garage on battery tender. Less than 900 miles all freeway miles. No trades
,"$8,850 ",XC 450 F,  2020 KTM Dirt Bike,"With several upgrades and a clean title in hand, this bike is ready to hit the trails with its new owner.Price: $8,850.00 Please feel free to reach out with any questions or to schedule a time to view this amazing machine in person. Hurry, as this incredible offer won't last long!"
"1,077 miles","$13,999 ",1290 SUPER DUKE R,  2018 KTM Sportbike,"Tel: (617)481-41002018 1290 Super Duke R• 1077 miles only!• 1 owner• No scratch/damage/accident• Daily drive only, no track history• Indoor storage in winter• Akrapovic slip-on exhaust• KTM single-sided rear wheel stand"
919 miles,"$5,000 ",250 250,  2016 KTM Dirt Bike,"2016 KTM Freeride 250 RThis is a sweet bike in great shape, ready to ride! A great dirtbike for anyone who wants a lighter and more nimble trail bike. Tune Up/Recent Work done by MotoSport Hillsboro this March. - New carburetor, air & gas filters, spark plugs, battery, fuel tank flush/clean, flushed/replaced brake fluid, new spark arrester/muffler packing, chain lubed, etc. Carb currently set for high altitude since it was mostly ridden in Hood River & Central Oregon."
,"$20,299 ",1290 Super Adventure R,New 2023 KTM Standard,
,"$4,199 ",50 SX,New 2023 KTM Competition,"2023 KTM 50 SX,    Engine & Exhaust  Chassis"
,"$8,599 ",350 XC-F,New 2023 KTM Dirt Bike,"2023 KTM 350 XC-F,    Engine & Exhaust"
,"$8,700 ",450 SX-F,New 2023 KTM Dirt Bike,"2023 KTM 450 SX-F, 2023 KTM 450 SX-F"
,"$12,049 ",500 EXC-F Six Days,New 2023 KTM Standard,
1 miles,"$11,299 ",890 Duke,New 2022 KTM Standard,"2022 KTM 890 Duke,"
95 miles,"$7,499 ",250 SX F SX-F,  2022 KTM Competition,"2022 KTM 250 SX F, NEW WATER PUMP20 HRS ON TOP END   Engine & Exhaust"
,"$13,399 ",890 Adventure,New 2022 KTM Sportbike,"2022 KTM 890 Adventure, 2022 KTM 890 Adventure"
"2,400 miles","$20,000 ",SUPER DUKE 1290 R EVO,  2022 KTM Super Moto,"Just had first service. All track pack and suspension upgrade options are on the bike (installed by dealer when purchased). Cruise control. Anti wheelie control. Full Akrapovic exhaust (installed by dealership when purchased). Excellent condition. Willing for someone to take over payments.Have a Peck Talk Bluetooth, Alpinestars Hoodie riding jacket (XL), Alpinestar Gloves & Shoei Helmet I will throw in with the bike.Bike was purchaed from the dealer with all upgrades for $26000 last year and barley broke in."
400 miles,"$10,000 ",500 EXC-F,  2020 KTM Dual Sport,2020 KTM 500 EXCF . 400 miles . 17 hours . All stock. Street legalFirm on price . Title on hand
"10,300 miles","$4,500 ",RC 390,  2017 KTM Sportbike,2017 KTM RC 390. 10k miles. Good condition. Never been laid down. Rides really good. Very nimble and quick bike. Tires still have alot of miles on them. Fresh spark plug. Fresh oil change and coolant flush! Comes with trickle charger. And full manual for the bike. Title in hand. $4500 OBO.
"3,000 miles","$7,700 ",300 XC-W SIX DAYS,  2017 KTM Dirt Bike,"2017 300xcw six days. RKtek head, Sxs ignition or stock, Keihin 38 carb, wheels are like new stock black, 2021 rear exc shock with 10hrs, TBT valves forks, rear disc guard, carbon up clutch cover, factory skid plate, new chain guide, near new xring chain, new sprocket, all bearings with in excellent condition and freshly greased, top end (complete cylinder assembly) has 25hrs, fmf turbine core 2, cycra hand guards, new stock 2019 exc seat, lots of tread on tires, all fluids fresh. Ready to ride. Needs nothing. Very fast, and runs amazing. Only selling to buy a boat. I bought it new in 2017. Pink slip in hand and current registration. It has around 150 on the bike, around 10 on the rear shock, 50 on the forks, less than 10 on the wheels, around 25 on a new cylinder, piston, power valve."
,"$5,500 ",450 SX-F FACTORY EDITION,  2015 KTM Dirt Bike,This bike is a near perfect condition. Only 41 hours with upgraded suspensionup and FMF exhaust pipe. Extra stock suspension and OEM exhaust pipe included.This bike has never been raced and runs great!
886 miles,"$10,999 ",1190 ADVENTURE,  2015 KTM Sportbike,"Almost New, low milage, call quick for this great offer"
,"$15,199 ",890 ADVENTURE R,New 2023 KTM Sportbike,"2023 KTM 890 ADVENTURE R, The updated KTM 890 ADVENTURE R proves that the destination comes second. With its unmatched ability to dispatch everything from highways to rocky gravel switchbacks, to single goat tracks, the KTM 890 ADVENTURE R boasts serious travel capabilities. Thanks to its incredibly responsive powerplant, pin-sharp offroad handling, and all-day comfort, its all about the journey."
,"$11,395 ",500 EXC-F,New 2023 KTM Dirt Bike,"2023 KTM 500 EXC-F, Think of the 2023 KTM 500 EXC-F as a sledgehammer. Hard-hitting, effective, and utterly devastating. But, thanks to a nimble chassis and its even more compact high-tech engine, this large-displacement power machine is surprisingly light and rideable. As a result, this 510 cc SOHC single-cylinder powerhouse has an incredible power-to-weight ratio and provides nothing less than the most dynamic, and exciting option for weekend outrides, enduro competition, or rally event."
1 miles,"$7,700 ",250 SX-F,  2023 KTM Dirt Bike,"TT 50 hours on bike. Oil changed every 5 hours. 20 hours on suspension and wheels. Chain, sprocket and tires few hours on them."
,"$9,999 ",450 SX-F,New 2023 KTM Dirt Bike,"2023 KTM 450 SX-F, Call (386) 740-2453. Se Habla Español. Visit DeLand Motorsports today and see how we treat customers like family. Our convenient location at 1420 N VOLUSIA AVE, ORANGE CITY, FL, is easy to reach for powersports enthusiasts from Orlando, Deltona, Daytona Beach and across Central Florida. Our brands include Suzuki, KTM, Yamaha Waverunners, Bobcat Equipment and Kymco. We are open Monday 9-5, Tues-Fri 9-6, Sat 9-5. We hope to see you soon!DISCOUNTED PRICE AND/OR INCENTIVES ARE FOR IN STOCK VEHICLES ONLY! DEALER INVENTORY ROTATES DAILY. PLEASE SEE DEALER FOR DETAILS. ANY SPECIAL ORDER OR NON IN STOCK UNITS MAY HAVE AN ADDITIONAL COST OR LOSS OF INCENTIVES. PRICE INCLUDES ALL FACTORY INCENTIVES AND REBATES. PRICE CAN NOT BE COMBINED WITH FACTORY PROMO APR % RATES. SEE OR CALL DEALER FOR DETAILS. Inventory changes daily, Most inventory needs a deposit.  2023 KTM 450 SX-F"
,"$12,999 ",690 SMC R ENDURO R,New 2023 KTM Sportbike,"2023 KTM 690 SMC R, 2023 KTM 690 SMC R"
5 miles,"$12,999 ",690 SMC R ENDURO R,New 2023 KTM Sportbike,"2023 KTM 690 SMC R, 2023 KTM 690 SMC R"
10 miles,"$12,949 ",890 Duke R,New 2023 KTM Sportbike,"2023 KTM 890 Duke R, 2023 KTM 890 Duke R"
,"$15,199 ",890 Adventure R,New 2023 KTM Dirt Bike,"2023 KTM 890 Adventure R, 2023 KTM 890 Adventure R"
1 miles,"$8,588 ",450 XC-F,New 2023 KTM Dirt Bike,"2023 KTM 450 XC-F, 2023 KTM 450 XC-F"
15 miles,"$7,399 ",390 Adventure,New 2023 KTM Dirt Bike,"2023 KTM 390 Adventure, 2023 KTM 390 Adventure"
5 miles,"$12,949 ",890 Duke R,New 2023 KTM Sportbike,"2023 KTM 890 Duke R, 2023 KTM 890 Duke R"
5 miles,"$12,949 ",890 Duke R,New 2023 KTM Sportbike,"2023 KTM 890 Duke R, 2023 KTM 890 Duke R"
,"$7,399 ",390 Adventure,New 2023 KTM Dual Sport,"2023 KTM 390 Adventure, 2023 KTM 390 Adventure"
,"$13,549 ",500 EXC-F Six Days,New 2023 KTM Dirt Bike,
,"$7,399 ",390 Adventure,New 2023 KTM Dirt Bike,"2023 KTM 390 Adventure, 2023 KTM 390 Adventure"
1 miles,"$10,999 ",500 EXC-F,New 2023 KTM Dirt Bike,"2023 KTM 500 EXC-F, As low as 3.99% APR special retail financing OAC for up to 60 months on select KTM 2023 Models. OR, enjoy our rock bottom, discounted advertised price on all transactions not utilizing the promotional financing offer. Cannot combine offers. All of our vehicles are advertised including all manufacturer promotions and rebates. If you take advantage of the promotional financing offer then the dealer rebates will not apply. See the store for complete details and exact pricing. Subject to prior sale. Offer ends 4/30/2023."
,"$15,199 ",890 Adventure R,New 2023 KTM Dirt Bike,"2023 KTM 890 Adventure R, 2023 KTM 890 Adventure R"
,"$8,499 ",350 SX-F,New 2023 KTM Dirt Bike,"2023 KTM 350 SX-F, 2023 KTM 350 SX-F"
1 miles,"$11,399 ",350 XC-F,New 2023 KTM Dirt Bike,"2023 KTM 350 XC-F, 2023 KTM 350 XC-F"
,"$12,999 ",690 Enduro R,New 2023 KTM Dirt Bike,"2023 KTM 690 Enduro R, 2023 KTM 690 Enduro R"
,"$12,949 ",890 Duke R,New 2023 KTM Standard,"2023 KTM 890 Duke R, 2023 KTM 890 Duke R"
1 miles,"$8,499 ",250 SX-F,New 2023 KTM Dirt Bike,"2023 KTM 250 SX-F, As low as 3.99% APR special retail financing OAC for up to 60 months on select KTM 2023 Models. OR, enjoy our rock bottom, discounted advertised price on all transactions not utilizing the promotional financing offer. Cannot combine offers. All of our vehicles are advertised including all manufacturer promotions and rebates. If you take advantage of the promotional financing offer then the dealer rebates will not apply. See the store for complete details and exact pricing. Subject to prior sale. Offer ends 4/30/2023."
,"$5,899 ",RC 390,New 2023 KTM Standard,"2023 KTM RC 390, 2023 KTM RC 390"
10 miles,"$12,949 ",890 Duke R,New 2023 KTM Sportbike,"2023 KTM 890 Duke R, 2023 KTM 890 Duke R"
,"$15,199 ",890 Adventure R,New 2023 KTM Dirt Bike,"2023 KTM 890 Adventure R, 2023 KTM 890 Adventure R"
1 miles,"$7,399 ",390 Adventure,New 2023 KTM Dirt Bike,"2023 KTM 390 Adventure, 2023 KTM 390 Adventure"
,"$12,949 ",890 Duke R,New 2023 KTM Sportbike,"2023 KTM 890 Duke R, SELLING OUT FAST CALL FOR AVAIL. NO prep added to this model! We list OTD prices to make you purchase easy. All bikes will have the OTD price posted including Texas taxes and and title fee's for Texas residents. Largest volume sales dealer in Region. Largest OEM AND AFTERMARKET KTM, GasGas and Husqvarna parts selection in Texas. Also comes with customer loyalty discount on parts after the sale. Please ask about how to join the team to continue parts discount program. Custom Graphics printed on site as well. We support the brands we sell. 2023 KTM 890 Duke R"
5 miles,"$13,949 ",890 Adventure,New 2023 KTM Dirt Bike,"2023 KTM 890 Adventure, 2023 KTM 890 Adventure"
,"$20,299 ",1290 Super Adventure R,New 2023 KTM Dirt Bike,"2023 KTM 1290 Super Adventure R, 2023 KTM 1290 Super Adventure R"
1 miles,"$19,599 ",1290SPRDKEREVO SUPER ADVENTURE S,New 2022 KTM Standard,"2022 KTM 1290SPRDKEREVO,"
