mileage,price,Bike name ,Time of USed,description
642 miles,"$17,995 ",X Diavel S White,  2019 Ducati Sportbike,"2019 Ducati X Diavel S White, The S version is equipped as standard with a DRL (Daytime Running Light) system for the front light, DLC for the stems of the front fork and Brembo M50 monoblock callipers for the front brake. The exclusivity of the XDiavel S is enhanced by visible mechanical finishings: the belt covers of the engine, the frame plates, the footpeg plates, and the wheels with their unique and exclusive design. Finally, to complete the S version, the rear-view mirrors are machined as a single piece, the seat has bi-material covering, the natural anodised and brushed fork and the Bluetooth module for the infotainment system.Low speed excitementDucati enters the Cruiser world and does so in its very own way, representing the best of both worlds. The Ducati world: thrilling performance, sporty power, advanced electronics. The cruiser world: long, low, forward positioned footpegs, powerful torque even at low speeds, no compromise in terms of materals and finishes."
642 miles,"$17,995 ",X Diavel S White,  2019 Ducati Sportbike,"2019 Ducati X Diavel S White, The S version is equipped as standard with a DRL (Daytime Running Light) system for the front light, DLC for the stems of the front fork and Brembo M50 monoblock callipers for the front brake. The exclusivity of the XDiavel S is enhanced by visible mechanical finishings: the belt covers of the engine, the frame plates, the footpeg plates, and the wheels with their unique and exclusive design. Finally, to complete the S version, the rear-view mirrors are machined as a single piece, the seat has bi-material covering, the natural anodised and brushed fork and the Bluetooth module for the infotainment system.Low speed excitementDucati enters the Cruiser world and does so in its very own way, representing the best of both worlds. The Ducati world: thrilling performance, sporty power, advanced electronics. The cruiser world: long, low, forward positioned footpegs, powerful torque even at low speeds, no compromise in terms of materals and finishes."
217 miles,"$21,800 ",MONSTER 1200 S,  2019 Ducati Sportbike,"2019 Ducati Monster 1200 25th Anniversario Numbered Limited Edition. This bike is #169 out of 500 limited addition with 217 miles. I just don’t ride it and I thought someone else would probably enjoy it.VIN ZDMMACFWOKB006212I don’t think there is another one with lower mileage in the USA, prove me wrong if you want. The Monster 1200 25th Anniversario has an 1198cc Testastretta motor. The Anniversario's were produced with gold metallic colored frame, forged Marchesini wheels, and Ohlins suspension with steering dampener, with the engine output of the 1200S at 147HP in stock, this one might be closer to 150+ after the break-in period is completed after 500 miles. This model came with billet aluminum and carbon fiber factory parts as a package. The Dealer upgrades included: Termignoni exhaust with factory dealer tuned motor to match the exhaust, heated hand grips, Ducati tank pocket bag PN 96780262C (New, never   or installed), Ducati Rear soft bag PN 96780311B (New, never   or installed), Speedymoto M1200 Slider Kit (New, never   or installed), Ducati Rider & Passenger Comfort Seat PN 96880391A and a 84 month (7 year) EveRed ESC “Extended Service Contract” (started on Dec 27 2018, good until Dec 2025). Included is the original owner’s manual, original Exhaust, two sets of keys, limited edition Red indoor cover, and a new front wheel stand are included. CLEAN TITLEIf you see this ad it is available and still for sale. Please Please Please don't ask those questions. I will remove the ad once I sell this."
"2,348 miles","$8,950 ",Scrambler Icon,  2018 Ducati Standard,"The Scrambler Icon is the starting point from which to express yourself. It is characterised by its comfortable riding position and steel teardrop tank with interchangeable aluminium side panels. The 790 mm seat height ensures comfort for both the rider and passenger. Stand-out features include the wide handlebar, the headlight with glass lens and LED guide-light, and the Dual Sport wheels. An aluminium finish for the belt covers, the heat guard and the interchangeable surround of the characteristic LCD instrument panel all enrich the style of the bike."
,"$10,950 ",SCRAMBLER FULL THROTTLE,  2016 Ducati Dual Sport,
"2,200 miles","$13,000 ",DIAVEL CARBON,  2012 Ducati Cruiser,"Mint Condition Ducati Diavel carbon edition 2012Its a rare carbon editions,Low MileageSport mode up to 162HPComfortable and safe bike with style,impressive back tire,2-seat bike,Always slept in the garageI am selling the bike cause I bought a new one,Antoine,"
"24,557 miles","$7,995 ",StreetFighter,  2010 Ducati Sportbike,"2010 Ducati StreetFighter, PLEASE NOTE! VEHICLE SHIPS OUT OF LAS VEGAS, NV. SHIPPING DIRECT TO PURCHASER’S DOORSTEP AVAILABLE NATIONWIDE.PRE-OWNED, NO WARRANTY. NATIONWIDE FINANCING AVAILABLE, CLICK ""GET FINANCING"" FOR CREDIT APPROVAL.  The Streetfighter’s Superbike soul combines fighter attitude and naked sophistication to create pure adrenaline. With 155hp of Ducati muscle, this fighter’s gloves-off and ready for action."
"10,200 miles","$7,500 ",ST 4S ABS,  2004 Ducati Sport Touring,"2004 Ducati ST4S for sale, Senna colors, 10200 original/current miles, purchased from original owner, never dropped or damaged in any way, pristine condition being sold with the following standard and optional equipment:Factory color matched hard luggage and mounting brackets-perfect conditionCorbin seat with removable backrest-black with red weltoriginal seat with underseat lock and keysSeargent seat-black with grey weltoriginal and Zero Gravity tinted sport touring windsheildsadjustable clutch leverpolished reservoir coversHVMP stainless heavy bar endsopen air box with K and N filter with original top coverPower commander FI remap moduleSil Moto titanium slip-onsPerformance add-ons installed by original selling dealer, original dealer sales and warranty paperwork included. Serviced at 6800 miles including timing belts, fluids and new Michelin sport touring tires. Owners manual, black and red keys. Bike is immaculate, mature 2nd owner with high standards regarding maintenence and presentation. 2004 ST4S version with the 996 Superbike engine was the top of the line for this model, also included factory ABS, adustable Ohlins suspension and lightweight Marchesini wheels.Needs nothing, 9 out of 10/NO disappointments. Located in Chicago area, CASH SALE ONLY."
"31,378 miles","$7,995 ",MONSTER 900,  2000 Ducati Custom,"2000 Ducati Monster 900 ei. This is the fuelinjected model. The fuel tank has been painted. The frame, wheels, and swing arm have been powdercoated. The oil cooler has Cerakoated. The seat foam was replaced and the seat was covered with Alcantara and marine grade vinyl."
269 miles,"$24,795 ",Streetfighter V2 Storm Green,New 2023 Ducati Sportbike,"2023 Ducati Streetfighter V2 Storm Green, Accessories include: Radiator Guard, Carbon Fiber mudguards, Carbon Rear shock, Carbon fiber wings, Carbon fiber instrument cover, Carbon Clutch cover, LED Turn signals, Tail Tidy, Arrow Exhausts.  2023 Ducati Streetfighter V2 Storm Green"
1 miles,"$26,995 ",Diavel V4 Thrilling Black BASE,New 2023 Ducati Sportbike,"2023 Ducati Diavel V4 Thrilling Black, 2023 Ducati Diavel V4 Thrilling Black"
1 miles,"$26,995 ",Diavel V4 Thrilling Black BASE,New 2023 Ducati Sportbike,"2023 Ducati Diavel V4 Thrilling Black, 2023 Ducati Diavel V4 Thrilling Black"
53 miles,"$12,995 ",Scrambler 1100 Tribute PRO Giallo Ocra 1100 PRO,  2022 Ducati Standard,"2022 Ducati Scrambler 1100 Tribute PRO Giallo Ocra, 2022 Ducati Scrambler 1100 Tribute PRO Giallo Ocra"
"5,821 miles","$19,799 ",Diavel 1260 S Ducati Red,  2021 Ducati Sportbike,"2021 Ducati Diavel 1260 S Ducati Red, 2021 Ducati Diavel 1260 S Red  2021 Ducati Diavel 1260 S Total Black"
"5,616 miles","$7,994 ",Scrambler,  2019 Ducati Standard,"2019 Ducati Scrambler, This 2019 Ducati Scrambler Icon in Yellow is in EXCELLENT condition with only 5616 miles on it! All of our Pre-Owned Bikes come fully serviced and are certified for 90 days! A full 3 year/unlimited mile nationwide service contract is available. Financing for almost anyone! All trades welcome! Please call 914-358-1154 to make sure it is available! This bike comes nicely equipped with a single side saddle bag and a fly screen."
"2,572 miles","$13,850 ",HYPERMOTARD 950 SP,  2019 Ducati Super Moto,"Super clean, garage kept, Dealer serviced 2019 950 SP with 2572 miles. Has upgraded Ohlins suspension, Marchesini forged wheels, and carbon pieces. Rear fender eliminator with integral turn signals and custom mounted tag/light. “Fork Ring” front turn signals, bar end mirrors and Puig windscreen"
"9,255 miles","$19,988 ",MULTISTRADA 1260 PIKES PEAK,  2018 Ducati Sport Touring,"2018 Ducati Multistrada 1260 Pikes Peak with a host of high-quality tasteful modifications (over $7k worth including labor). All service was done ahead of Ducati recommended schedule by reputable local mechanics. I am the second owner of this vehicle since 2,500 miles and purchased it from the original owner. The bike currently shows 9,250 miles.

The Pikes Peak model comes with Marchesini Forged Wheels, full Ohlins suspension front and rear, Termignoni end can, Pikes Peak inspired livery, carbon fiber accents everywhere, and more. Please see below for a video walk around & start up of the bike.https://www.youtube.com/watch?v=Kp44bQI0Zp0

As demonstrated above, no expense or detail was spared on this build & I guarantee you will fall in love with this bike upon seeing it. This is the best Multistrada 1260 Pikes Peak on the market. Save yourself ridiculous dealer fees & sales tax (and labor costs for install!).Cash & Crypto accepted. Clean title in hand and in my name. Low-ballers will be ignored.Please feel free to ask any questions and thank you for your interest."
"1,800 miles","$9,350 ",SCRAMBLER FULL THROTTLE,  2016 Ducati Standard,"Selling my 2016 Ducati Scrambler Full Throttle (803 cc) motorcycle WITH ONLY 1,900 MILES! Purchased from original owner in Columbus Ohio in 2019. Bike has been laid down once and had rear break pedal repaired by Ducati dealership. There is a small scrape on the exhaust cover and on right handle bar grip where it was laid down, but nothing major. Accessories: x1 White Icon AIRFLITE helmet (extra visors) x1 Matte black FLY Racing helmet (black & clear visors) x1 Black Icon gloves x1 Brown leather gloves Note: 2015 Ducati SCRAMBLER specifications are provided by the manufacturer and may not reflect this 2015 Ducati SCRAMBLER motorcycle for sale. Lighting: Headlight with glass lens, LED light-guide and interchangeable aluminum cover, LED rear light with diffusion-light Instrumentation: LCD instruments with interchangeable aluminum cover Colors: Red, Yellow (see Options for color pricing) Final Drive: Chain; front sprocket 15; rear sprocket 46 Gear Ratio: 1st: 32/13 2nd: 30/18 3rd: 28/21 4th: 26/23 5th: 22/22 6th: 24/26 Transmission: 6-speed Primary Drive: Straight cut gears Ratio: 1.85:1 Horsepower: 75 hp (55 kW) @ 8,250 rpm Torque: 50 ft. lbs. (68 Nm) @ 5,750 rpm Fuel Tank Capacity:3.57 gal. (13.5 l) Cooling:Air Exhaust: 1 stainless steel muffler, aluminum silencer cover, catalytic converter and 2 lambda probes Engine: L-twin, Desmodromic distribution, 2 valves per cylinder Displacement: 803 cc Bore X Stroke: 88 x 66 mm Compression Ratio: 11:1 Fuel System: Electronic fuel injection, 50 mm throttle body Clutch: APTC wet multi-plate with mechanical control Rake:24° Trail: 4.4 in. (112 mm) Frame: Tubular steel Trellis Suspension:Front: Upside-down Kayaba 41 mm fork; 5.9 in. (150 mm) travel Rear: Kayaba rear shock, pre-load adjustable; 5.9 in. (150 mm) travel"
"7,900 miles","$11,900 ",PANIGALE 899,  2015 Ducati Sportbike,"This is a beautiful one owner 2015 Ducati superbike 899 Panigale! With 148hp, It only has 7900 miles, Has always been stored in a heated garage, and was serviced only through Ducati, it was just serviced in the fall before storing it away, and it had the fluids changed and new battery and new tires, comes with a Ducati bike cover, saddlebags, etc. please feel free to reach out to me with any questions Jason at 774-364-5232."
"12,671 miles","$10,290 ",Monster 1200 S Red,  2015 Ducati Sportbike,"2015 Ducati Monster 1200 S Red, This Monster 1200S is freshly serviced and ready to ride. To prepare it for sale, we installed a new starting battery, Flushed the brake fluids, and changed the engine oil and filter. This bike runs and rides great. We do not add Dealer Reconditioning fees on our   inventory. Transparent financing information is available on our website. Click the ""Buy Online"" button to structure your individual financing options.  Call or email us with any questions you may have or come by for a test ride! Competitive financing is available and trade-ins are encouraged. 858-560-BIKE (2453) Selling Price does not include; $31 Electronic DMV filing fee, $85 documentation fee, or sales tax and vehicle license based on your physical address."
"16,100 miles","$10,000 ",Monster DIESEL,  2013 Ducati Sportbike,"Monster Diesel edition!Limited run, air cooled. Garaged, tendered, adult owned. Excellent condition, upgraded exhaust, headlights, bars, levers, mirrors, plate holder, LED’s & Heated grips. Super fun."
"4,677 miles","$11,000 ",1198 1198,  2011 Ducati Sportbike,"As the title says, Ducati 1198. We would assume reading this you have an interest, so I'll make it quick for you. New engine belts, (as it should be) new tires, all the fixings you could ask for! Not ab , not put down, no slide anywhere ever, not tracked (I'm not that good) moto electric cables put in, so it cracks with authority instead of enemicly.Got two keys, garage kept. AND side jack to keep it off the floor and puddle floods! That being said the bike doesn't know rain exists.Even have the book for it it came with. No test rides unless money is in hand, and like most people I have a job that works sometimes strange hours, so be flexible with me and I'll return the favor!Why am I selling? Because I got promoted at work and now I don't have the time to enjoy it, and someone should, and that should be you!Drop me an email, and I will get back to you asap! Be safe, and keep the rubber side down!"
"10,207 miles","$12,000 ",1198 1198,  2009 Ducati Sportbike,"Selling my garage queen after over a decade of ownership. I am the second owner and purchased the bike with just under 3,000 miles. It has been maintained on the factory-recommended service intervals throughout its entire life, and received a full check-up and fluids service by GO AZ Motorcycles Peoria in the last 200 miles.The bike has always been garaged and kept under a flannel cover. Termignoni carbon fiber slip ons were installed by the original dealership at the time of purchase as well as a set of SpeedyMoto under-fairing frame sliders. The bike runs flawlessly and has been hooked up to a trickle charger when it's not being ridden, which seems like a lot lately. The bike has several tasteful mods, listed below:Termignoni carbon fiber slip ons Shift-Tech carbon fiber rear hugger Shift-Tech carbon fiber exhaust heat guard Shift-Tech carbon fiber airduct cover set Oberon 29mm slave cylinder anodized black SpeedyMoto under-fairing frame sliders SpeedyMoto 10 spoke open clutch cover anodized black SpeedyMoto Shinobi pressure plate, anodized red with black anodized caps Spiegler racing footpegs, anodized black Speedy Moto axle nut sprocket Fender eliminator kitThere is some light abrasion to the throttle-side rubber grip (see pictures), but otherwise the bike is in overall excellent condition for the age and mileage. It has never been laid down, dropped, etc. Bike comes with two keys, original manuals, rear seat, rear faring, buddy pegs and Road Gear red indoor motorcycle cover.If I receive full asking price, I'll include the Pitbull rear stand, Pitbull trailer restraint system, Zero Gravity Corsa series clear wind screen (original is on bike), and any other odds and ends I can find."
3 miles,"$27,795 ",MULTISTRADA V4 S,New 2023 Ducati Dual Sport,"2023 DUCATI MULTISTRADA , ,"
,"$13,895 ",Scrambler 1100 Dark PRO 1100 PRO,New 2023 Ducati Standard,"2023 DUCATI Scrambler 1100 Dark PRO, IN STOCK!Through 4/31/2023, enjoy financing as low as 3.99% (wac) and no payments for 90 days!   Features"
5 miles,"$18,295 ",DESERT X RR BASE,New 2023 Ducati Dual Sport,"2023 DUCATI DESERT X RR,    Features"
1 miles,"$31,595 ",Multistrada V4 Pikes Peak Livery,New 2023 Ducati Sportbike,"2023 Ducati Multistrada V4 Pikes Peak Livery, 2023 Ducati Multistrada V4 Pikes Peak Livery"
"1,350 miles","$23,000 ",XDIAVEL S,  2022 Ducati Standard,"Brand new and looks like it. This bike costs $27,395 new. My loss your gain. Beautiful bike, rides amazing. Feels very light and agile. Has Puig adjustable touring screen that really cuts the wind on the freeway. Easy to remove with 4 bolts. Has DucaBike mid feet controls, but also have the stock forward controls. Easy to change them out. Has the rear sissy bar/backrest. Tires are great. Brembo ABS brakes."
734 miles,"$13,500 ",SCRAMBLER DESERT SLED FASTHOUSE,  2022 Ducati Dual Sport,"Limited and hard to find 2022 Ducati Desert Sled Fasthouse Edition. One of only 800 made in the world, and number plated 616. One Owner with only approximately 730 miles, and in perfect condition. I ordered early and then waited months to receive. There were only a few sold in FL. Extremely fun to ride and looks cool too! Garage kept always, and frequently started to keep the fluids moving. I simply don't have the time to ride. All original and no custom work done. Serious inquiries only please."
147 miles,"$20,995 ",Panigale V2 Bayliss 1st Championship 20th Anniversary,  2022 Ducati Sportbike,"2022 Ducati Panigale V2 Bayliss 1st Championship 20th Anniversary, 2022 Ducati Panigale V2 Bayliss 1st Championship 20th Anniversary"
"3,208 miles","$24,994 ",MULTISTRADA V4 S,  2021 Ducati Sport Touring,"V4S Aviator Grey / Spoked Wheels -  All services accomplished at a Ducati dealer. Adaptive cruise control and blind spot radar enabled. Color-matched side & top cases, heated grips, and heated rider & passenger seats. Additional Accessories: engine bars, highway pegs, skid plate, radiator rock guard, side stand plate, Ducati auxiliary lights (not installed), Ducati top box, QuadLock center-mounted wireless charger, and Ducati aluminum hand guards$24,994. Serious offers only."
"3,499 miles","$10,328 ",Scrambler Desert Sled,  2019 Ducati Standard,"2019 Ducati Scrambler Desert Sled, $11028 OUT THE DOOR!! Why buy  ? To find the PERFECT vehicle! With over 30 years in the powersports industry, Ridenow Goodyear has the LARGEST selection of PRE-OWNED vehicles in the nation! Our factory trained service technicians multi-point inspect every vehicle to ensure it’s ready to Ride Now. Don't see what you are looking for? We can FIND IT for you! We specialize in: Purchasing   Vehicles I Service for All Makes & Models I Trade-Ins I Special Financing I Assisting with Shipping all over the United States. Start your adventure today and CALL 844-474-3366 to get started on the path to ownership!   2019 Ducati Scrambler Desert Sled"
"3,774 miles","$14,500 ",MONSTER 1200 S,  2018 Ducati Sportbike,"First owner spared no expense. ECU flashed. Ohlins steering damper. Ducati scalloped wheels. Ducati sports fairing. OEM heated grips. Ducati alarm system. Ducati brake/clutch reservoir kit. Brake sensor kit. CRG RC2 levers. CRG arrow mirrors. Ducati tank protector. Ducati LED turn signals. Speedymoto frame sliders. Rizoma gas cap. Rizoma front pegs. Evotech tail tidy. Evotech exhaust hanger and passenger block off. Transferrable 84 month warranty from original purchase. Service records available. Battery tender included. This one of a kind is loud, fast and fun!"
"4,509 miles","$10,495 ",SUPERSPORT BASE,  2017 Ducati Sport Touring,"2017 Ducati Supersport 4,500 miles. One owner, immaculate, garaged, full service records. All services up to date and performed by Ducati. This bike is the best blend of Sport bike and Touring bike. It's comforatble as a daily driver and performs well on the track. It has 3 driving modes that support both Sport and Touring and changes the Dynamic Traction control and ABS to provide the perfect balance for your style of riding.FeaturesGas/fuel sensor is intermittent, this is a well documented issue with Ducati.To read a full review of the bike click on the link belowhttps://www.motorcycle.com/manufacturer/ducati/2017-ducati-supersport-review.html"
"3,999 miles","$21,999 ",PANIGALE 1299 S ANNIVERSARIO,  2017 Ducati Sportbike,"Extremely Rare: This 2017 Ducati 1299 Panigale S Anniversario is number 164 of 500 bikes built for the manufacturer’s 90th anniversary. Only 3,999 miles! Title in-hand.The bike is powered by a 1,285cc V-twin with four desmodromically-actuated valves per cylinder, and is equipped with a 6-speed transmission with the Ducati Quick Shift (DQS) system. Factory Ducati-Akrapovic exhaust system. Fender delete kit and the removed fender is included in the sale. 1,285cc V-Twin 4-Valves Per Cylinder 6-Speed Transmission Ducati Quick-Shift System Ducati-Akrapovic Exhaust Rear Fender Delete Stock Parts Included 17"" Forged WheelsThe forged W-spoke alloy wheels measure 17" in diameter both front and rear, with widths of 3.50" and 6.00" respectively. Braking is handled by dual 330mm front discs with Brembo Monobloc M50 4-piston calipers and a single 245mm rear disc with a two-piston caliper.The electronically-adjustable suspension features an Öhlins NIX30 front fork, while the Öhlins TTX36 rear coilover assembly acts on the single-sided rear swingarm via a bell crank assembly with an adjustable linkage.The billet top triple clamp is laser inscribed with the model name and production number. The digital dash display integrates controls for the riding modes, power modes, and suspension, braking, and traction control. 197 horsepower and 101 lb-ft of torque. Power is sent to the rear wheel via a 6-speed transmission with the Ducati Quick Shift (DQS) system."
"7,000 miles","$9,500 ",HYPERSTRADA 939,  2016 Ducati Sport Touring,"This is a great bike. Nimble, powerful, awesome in city and on the open road. This motorcycle has the same engine as the Multistrada 950, but is a slightly smaller body that is great as a commuter. I also drove from Austin, TX to Virginia Beach, VA on it last fall and it loved the highways. The Hyperstrada is a Hypermotard with a more upright/comfortable riding position, a windshield, bark-busters, and saddlebags. This really is a do everyting bike that is loads of fun, but is more power than I need. I'm switching to a smaller cc vehicle.https://www.bennetts.co.uk/bikesocial/reviews/bikes/ducati/ducati-hypermotard-2016-full-test--reviewI purchased it 2 years ago from Austin Ducati where it had been traded in by a long-time customer with only 2000 miles. I've only put on 5000 miles in those 2 years. It has a new battery and back tire, recent oil change, and is ready to travel anywhere. I have it set up with a dash shield for in-city riding, but also have the windshield for touring. I've also added a radiator and oil cooler guard to protect against rocks in the hill country, and a Givi top case mount for touring.https://www.youtube.com/watch?v=MUmJeLVJAzE"
"15,761 miles","$9,995 ",899 Panigale Red,  2015 Ducati Sportbike,"2015 Ducati 899 Panigale Red, PLEASE NOTE! VEHICLE SHIPS OUT OF LAS VEGAS, NV. SHIPPING DIRECT TO PURCHASER’S DOORSTEP AVAILABLE NATIONWIDE.  2015 Ducati 899 Panigale Red"
"3,870 miles","$6,250 ",SCRAMBLER ICON,  2015 Ducati Sportbike,"2015 Ducati Scrambler in the fastest color (red). Low miles, less than 600 per year. 803 air-cooled twin, meticulously maintained, garaged and covered. Belts and fluids recently changed, NEW Pirelli MT 60 tires, ready for the season. Zard (Italy) full scrambler stainless exhaust system, original exhaust included. Scrambler by Rizoma Billet Mirrors, Rizoma reservoir cover, Rizoma Aluminum Flyscreen. Hypermotard foot pegs with Ducati rubber inserts. Immaculate motorbike looking for a new owner.Brand new tires, low miles, ZARD custom scrambler exhaust. Ducati scrambler brake reservoir cover. Ducati scrambler mirrors. VERY CLEAN BIKE. Garaged and on a tender. All service and maintenance records available. Every planned service done. Red and silver. Scrambler. Desert sled exhaust. Great starter bike. Very easy to ride with handle bar. ABS works great."
"7,783 miles","$11,500 ",DIAVEL CARBON,  2015 Ducati Sport Touring,"This 2015 Ducati Diavel Carbon edition is an extremely well maintained and serviced machine by Motocorsa, always garaged and plugged to a battery tender. The bike was serviced last year adding new tires (F/R) + battery. It comes with a full Termignoni exhaust system ($4K in value + mapping), performance battery tender, heated grips, new comfort Ducati performnace seat, Rizoma mirrors, ducati frame plugs, ducati windshield deflector, ducati carbon rear mud gard (+ other pcs) and integrated turn signals. The bike is ready for the road. You are welcome to schedule a pre-purchase inspection with Motocorsa (at your cost). The bike is in excellent conditions.No cashier's checks, no trades, no wire transfers etc. CASH only (transaction must be completed before banking hours close to verify funds (sorry for the inconvenience)."
"11,630 miles","$6,495 ",Monster 696,  2014 Ducati Standard,
"39,187 miles","$6,800 ",MULTISTRADA 1200 S TOURING,  2013 Ducati Sport Touring,"This Multistrada has been well taken care and serviced and it runs great. I have dealership service invoices from first owner through 33,279 miles that includes among many serviced items: Desmo service, brake/clutch fluid flush and fork seal replacement. The bike had new tires (Michelin Pilot 5) and a new fuel level sensor installed when I purchased it with 36,064 miles on it by the dealership. I changed the oil & filter (full synthetic), the air filter and spark plugs in past year I’ve owned it. I also cleaned and lubricated the rear wheel shaft. Apart from the usual scuff marks from a 10-year old bike, there is a prominent scratch on the left side panel (shown in one of the pictures). The heated hand grips don’t function (despite being told they do when I bought it) and I haven’t been able to diagnose why. Extras include engine guards, Barkbuster hand guards, sidestand foot plate, MOTOELECTRIC battery cables, exhaust guard, Tuneboy cruise control, Givi top case, and front DIN socket. I have three keys, user manual, and the Ducati tool kit that came with the bike (chain adjustment tools and allen wrenches). Here is a link (vimeo.com/user172283120) to a video on Vimeo that for some reason I can't upload when listing the bike. I’ll accept certified bank check or cash only. Test ride only with cash in hand."
"8,638 miles","$8,999 ",749 BASE,  2006 Ducati Sportbike,"2006 Ducati 749, 2006 Ducati 749 mono seat with full Termi exhaust and upgraded foot controls. Low miles, services up to date including fresh tires and cam belts. Previously owned by ""Moto Guy"" Guy Webster."
3 miles,"$22,395 ",PANIGALE V2 BAYLISS 1ST CHAMPIONSHIP 20TH ANNIVERSARY,New 2023 Ducati Standard,"2023 DUCATI PANIGALE V2 BAYLISS 1ST CHAMPIONSHIP 20TH ANNIVERSARY,"
,"$27,095 ",MULTISTRADA V4 S,New 2023 Ducati Dual Sport,"2023 DUCATI MULTISTRADA , ,"
1 miles,"$11,695 ",Scrambler Urban Motard Star White Silk and Ducati GP,New 2022 Ducati Standard,"2022 Ducati Scrambler Urban Motard Star White Silk and Ducati GP 19 Red, 2022 Ducati Scrambler Urban Motard Star White Silk and Ducati GP ’19 Red"
1 miles,"$11,695 ",Scrambler Urban Motard Star White Silk and Ducati GP,New 2022 Ducati Standard,"2022 Ducati Scrambler Urban Motard Star White Silk and Ducati GP 19 Red, 1 Miles  2022 Ducati Scrambler Urban Motard Star White Silk and Ducati GP ’19 Red"
"11,631 miles","$7,199 ",Scrambler Icon Dark,  2021 Ducati Standard,"2021 Ducati Scrambler Icon Dark, 2021 Ducati Scrambler 800"
"2,297 miles","$11,950 ",MONSTER 821,  2020 Ducati Sportbike,"Very low milage, very clean garage kept Monster 821 with Termignoni exhaust, dealer installed, ECU updated, adjustable clutch and brake levers. Annual service performed on 02/28/23. Including original exhaust, levers and Ducati cover."
"5,378 miles","$9,390 ",Monster 821,  2020 Ducati Sportbike,"2020 Ducati Monster 821, This Monster was traded in on another one of our pre-owned Ducati's. To prepare it for sale, we performed an Engine Oil Change. We do not add Dealer Reconditioning fees on our   inventory. Transparent financing information is available on our website. Click the ""Buy Online"" button to structure your individual financing options.  Call or email us with any questions you may have or come by for a test ride! Competitive financing is available and trade-ins are encouraged. 858-560-BIKE (2453) Selling Price does not include; $31 Electronic DMV filing fee, $85 documentation fee, or sales tax and vehicle license based on your physical address."
954 miles,"$18,999 ",Diavel 1260 S,  2020 Ducati Sportbike,"2020 Ducati Diavel 1260 S , 2020 Ducati Diavel 1260 S  2020 Ducati Diavel 1260 S Total Black"
"6,285 miles","$23,000 ",PANIGALE V4,  2019 Ducati Sportbike,
"12,800 miles","$13,995 ",1299 Panigale S Red,  2015 Ducati Sportbike,"2015 Ducati 1299 Panigale S Red, PLEASE NOTE: VEHICLE SHIPS OUT OF LAS VEGAS, NV, PRE-OWNED, AND FINANCING OPTIONS. NATIONWIDE SHIPPING AVAILABLE - NATIONWIDE FINANCING AVAILABLE, CLICK ""GET FINANCING"" FOR CREDIT OPTIONS.  2015 Ducati 1299 Panigale S Red"
"14,029 miles","$17,996 ",Superbike 1199 Panigale,  2015 Ducati Sportbike,"2015 Ducati Superbike 1199 Panigale, Why buy  ? To find the PERFECT vehicle! With over 30 years in the powersports industry, Ridenow Chandler has the LARGEST selection of PRE-OWNED vehicles in the nation! Our factory trained service technicians multi-point inspect every vehicle to ensure it’s ready to Ride Now. Don't see what you are looking for? We can FIND IT for you! We specialize in: Purchasing   Vehicles I Service for All Makes & Models I Trade-Ins I Special Financing I Assisting with Shipping all over the United States. Start your adventure today and CALL 480-503-3333 to get started on the path to ownership!   2015 Ducati Superbike 1199 Panigale"
38 miles,"$18,900 ",MULTISTRADA V2 S,  2023 Ducati Touring,"only have a 38 miles, I buy 3 months ago and don't have time to   Have a couple extras check the picture"
,"$27,795 ",Streetfighter V4 S,New 2023 Ducati Sportbike,
968 miles,"$12,800 ",MONSTER + 937,  2022 Ducati Sportbike,"Selling my 22' Ducati Monster Plus 937cc. Less than 1k miles. Purchased new in August 2022, over $4000 of professionally installed upgrades. Never dropped or layed down, bike is in near new condition. Garage kept. Rear passengerseat also included. Upgrades: Twin SC-Proiect CR-T Titanium Mufflers, Decat and retuned, Custom Pipework, Evotech Performance Frame Slider Kit, Evotech Performance Tail Tidy, Evotech Performance Spindle Bobbins Kit, QuadLock Wireless Charging Phone Mount and Vibration Dampener, Bar End Arrow Mirrors Bike has been regularly maintained, upgraded, and tuned at Richmond Superbike. 600mi service has been completed and bike is in top shape and ready to go. Was asking $14k but reduced to $12,800 FIRM. Clean title in hand."
"7,700 miles","$19,995 ",Streetfighter V4 S,  2020 Ducati Sportbike,"2020 Ducati Streetfighter V4SDownsizing bike collection. Awesome bike, no issues, fresh service. Lots of little upgrades. Termingnoni slip on exhaust. Will consider lower price with stock exhaust. Carbon wings, front fender, tank cover, rear fender, chain guard. NRC tail lightFull service, new tires, and new rear brakes 2 months ago from the dealer. Also have passenger seat and pegs.$1500 in service and tires, $3000 in exhaust in addition to the other extras"
"8,200 miles","$15,500 ",MULTISTRADA 1260 S TOURING,  2019 Ducati Sport Touring,"Selling my gently   2019 Ducati Multistrada 1260s Touring with only 8200 miles on the odometer. Standart equipment includes heated grips, quickshifter, semi active suspension (skyhook), riding modes to name a few. This machine comes with set of factory hard cases. Aftermarket parts include the following: 100% carbon fiber front and rear fender, muffler cover, top brash guards and mirror caps. In addition this bike comes with Evotech hand guards, front wheel sliders and radiator guard. It is also equiped with full crash bars and oversized, asjustable windscreen by Puig. Michelin Road 6 tires have 1K miles on it and plent of ruber left. I am selling it because I am spendning more time on my GS exploring local trails. I changed all the fluids myself about 1000 miles ago and always using Motul products. Please no low-balling as I am not desperate to sell. I don't need help selling either. Thanks for veiwing."
