mileage,price,Bike,Types and Used Time,description
"11,186 miles","$23,999 ",S 1000 RR,  2020 BMW Sportbike,? FINANCE AVAILABLE
,"$16,500 ",K 1600 B,  2020 BMW Sport Touring,
"1,286 miles","$22,950 ",R 1250 GS ADVENTURE,  2019 BMW Dual Sport,Dynamic Traction Control
"14,597 miles","$16,899 ",R1250GS HP 1250 GS,  2019 BMW Sportbike,"14,597 miles. The 2019 BMW R1250GS HP is an impressive adventure motorcycle that boasts an array of advanced features and technologies. This bike is equipped with a powerful 1254cc twin-cylinder engine that delivers excellent performance and acceleration. The bike also features BMW's ShiftCam technology, which optimizes engine performance and enhances fuel efficiency."
"18,000 miles","$15,999 ",R 1200 GS RALLYE,  2017 BMW Dual Sport,
"146,703 miles","$8,995 ",R 1200 RT,  2015 BMW Touring,"A motorcycle that defined the classic touring bike segment has now reached the next stage of evolution: the new BMW R 1200 RT. With its light handling, the R 1200 RT makes it possible to enjoy what is most important: riding through the landscape. Whether on your own or with a passenger: the new R 1200 RT is all about comfortable, relaxed riding on every tour."
"24,927 miles","$8,750 ",R NINET,  2015 BMW Standard,
"31,248 miles","$6,900 ",F 800 GS,  2014 BMW Dual Sport,
"7,300 miles","$16,000 ",R NINET,  2014 BMW Cruiser,
,"$8,800 ",F 800 GS,  2014 BMW Dual Sport,
"49,300 miles","$6,500 ",K 1200 LT,  2009 BMW Touring,
"32,609 miles","$4,999 ",K 1200 S,  2007 BMW Sportbike,
"53,641 miles","$4,995 ",R 1200 RT,  2005 BMW Sport Touring,"$4,995 OBO"
"39,399 miles","$3,500 ",R 1100 RT ABS,  2000 BMW Cruiser,
215 miles,"$28,600 ",R 1250 GS Adventure Triple Black,New 2023 BMW Dual Sport,"The world is there to be discovered. There’s always something new. The R 1250 GS is the queen of the touring enduro It’s just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease."
,"$27,240 ",R 18 B 719 Mineral White Metallic,New 2023 BMW Cruiser,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrates a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, it’s not all about displacement. The R 18 B goes significantly further. It’s made for customizing. Turn it into your unique bike and bring out the #SoulFuel."
6 miles,"$25,270 ",S 1000 XR Light White/M Motorsport 1000 R,New 2023 BMW Dual Sport,"Make no concessions, demand it all. From yourself, but also from your machine. Always fighting for the racing line: every curve a few degrees deeper, a few inches tighter. Mile after mile. With the S 1000 XR, you have a motorcycle that also makes no compromises. It combines athleticism and long-distance performance in perfect form. Its sporty aggressiveness comes from the RR. Its outstanding ergonomics with the upright, relaxed seat position, however, allows you to fight for every curve and straightaway all day. A racetrack that only finishes when you want. How it should be. That is how we view the XR. What about you?"
2 miles,"$24,170 ",R 1250 GS,New 2023 BMW Dual Sport,"3asy Ride is a retail installment sales contract with a balloon payment. Financing provided to well qualified customers by participating BMW Motorcycle dealers and assigned to BMW Financial Services NA, LLC or BMW Bank of North America. Fees and other details are subject to change. BMW Motorrad USA is not responsible for errors. Price examples exclude tax, title, and registration fees. Actual credit terms for approved applicant may differ based on applicant's creditworthiness, amount financed and length of term. Program not offered in NC, ND, NH, NV, PA, & WV. The total amount financed must be greater than $10,000 in HI and MD. In NJ, the selling price must exceed $10,000. 3asy Ride products may not be   in ME for contracts with a term of less than 48 months. Subject to credit approval."
3 miles,"$13,450 ",F 750 GS,New 2023 BMW Dual Sport,"2023 F750GS in white, blue, and red. Loaded with Premium package this motorcycle includes Dynamic ESA, Keyless Ride, Gear Shift Assist Pro, Heated Grips, TPM, Cruise Control and more. Financing available O.A.C. with up to 90 days until your first payment."
3 miles,"$27,020 ",K 1600 B,New 2023 BMW Touring,"The all-new 2022 K1600B in Kalamata Metallic Matte! Equipped with the Comfort and Touring Packages which include Reverse Assist, Keyless Ride, LED Auxiliary Lights, Cruise Control, Heated Grips, Gear Shift Assist Pro, Floor Lighting and more. Financing available O.A.C. with up to 90 days until your first payment is due."
2 miles,"$26,005 ",R 1250 GS Adventure,New 2023 BMW Dual Sport,"3asy Ride is a retail installment sales contract with a balloon payment. Financing provided to well qualified customers by participating BMW Motorcycle dealers and assigned to BMW Financial Services NA, LLC or BMW Bank of North America. Fees and other details are subject to change. BMW Motorrad USA is not responsible for errors. Price examples exclude tax, title, and registration fees. Actual credit terms for approved applicant may differ based on applicant's creditworthiness, amount financed and length of term. Program not offered in NC, ND, NH, NV, PA, & WV. The total amount financed must be greater than $10,000 in HI and MD. In NJ, the selling price must exceed $10,000. 3asy Ride products may not be   in ME for contracts with a term of less than 48 months. Subject to credit approval."
6 miles,"$15,190 ",R nineT Scrambler Granite Gray Metallic,New 2023 BMW Cruiser,"The R nineT Scrambler knows no conventions: rough, unadapted, individual. Its handling is balanced and unique. With the boxer, you can ride around with your head held high, it is available for every spontaneity. And the typical Scrambler look together with the relaxed seating position makes a lot of difference and above all is a lot of fun. Design your R nineT Scrambler so that it fits perfectly into your life. No matter what the others say. Just typical #Soulfuel."
10 miles,"$9,535 ",C 400 GT Triple Black,New 2023 BMW Scooter,"A vibrant metropolis. Novelty around every corner. You have unlimited options with the C 400 GT: climb on, set off, enjoy and just keep going even beyond city limits. In doing so, you will conveniently reach your destination thanks to the new Ride by Wire and optional BMW Motorrad Connectivity including Navigator. Your radius increases and you discover your world in a new dimension. #PluggedToLife"
10 miles,"$28,355 ",K 1600 GT Sport,New 2023 BMW Touring,"Your trip is perfect if you have forgotten everything you left behind after the first corner. When you feel an irresistible drive, in response to the smallest command. In other words: When you have everything you need, but you still get more than before: more comfort, more performance. The legendary six-cylinder K 1600 GT now drives you forward with even more focus. In keeping with this, the new cockpit has been fully geared towards your needs. For an outstanding performance tour when you’re out and about. A fully fledged #RideAndShare."
100 miles,"$32,000 ",S 1000 RR,  2023 BMW Sportbike,
5 miles,"$29,000 ",R NINET,  2023 BMW Cruiser,
,"$25,425 ",S 1000 RR,New 2023 BMW Standard,"IN STOCK- RESERVE NOW! M CARBON WHEEL, PREMIUM, M PACKAGE BIKE."
,"$23,075 ",S 1000 RR,New 2023 BMW Standard,IN STOCK- PREMIUM WITH M FORGED WHEELS- RESERVE NOW
202 miles,"$23,925 ",R 1250 GS,New 2023 BMW Dual Sport,"As low as 2.9% APR! The 2023 R1250GS in the GS Trophy color package. Premium Package motorcycle with Adaptive LED headlight includes Keyless Ride, Dynamic ESA, Gear Shift Assist Pro, Sadle Bag Mounts, Heated Grips, TPM, Cruise Control, Ride Modes Pro and more. Financing available O.A.C. with up to 90 days until your first payment.  Easy Ride example monthly payment is based on $23925 MSRP, 48 month contract, 2.9% APR, 30 days to first payment, $1000 down payment and a $10527 balloon payment. Excludes tax and DMV fees."
108 miles,"$21,999 ",R 18 Transcontinental,New 2022 BMW Cruiser,"SAVE $6561 ON OUR DEMO, GET 0% FINANCING, AND BMW WILL MAKE THE FIRST 4 PAYMENTS UP TO $333/ MONTH (ON APPROVED CREDIT)"
2 miles,"$13,995 ",F 850 GS Premium Package,New 2022 BMW Dual Sport,"Live the challenge. Ride on where others turn back. Turn challenges into opportunities. The BMW F 850 GS is perfectly streamlined for off-roading, as can be seen from its 21-inch front wheel. What matters is your curiosity and what drives you regardless of how far or where you want to ride. The expanded standard equipment and a variety of special equipment and special accessories means that you can easily discover what lies beyond the horizon with the F 850 GS."
101 miles,"$12,990 ",F 900 XR,New 2022 BMW Standard,"3asy Ride is a retail installment sales contract with a balloon payment. Financing provided to well qualified customers by participating BMW Motorcycle dealers and assigned to BMW Financial Services NA, LLC or BMW Bank of North America. Fees and other details are subject to change. BMW Motorrad USA is not responsible for errors. Price examples exclude tax, title, and registration fees. Actual credit terms for approved applicant may differ based on applicant's creditworthiness, amount financed and length of term. Program not offered in NC, ND, NH, NV, PA, & WV. The total amount financed must be greater than $10,000 in HI and MD. In NJ, the selling price must exceed $10,000. 3asy Ride products may not be   in ME for contracts with a term of less than 48 months. Subject to credit approval."
102 miles,"$10,999 ",F 900 R,New 2022 BMW Standard,"SAVE $1,591 ON OUR DEMO WITH PREMIUM PACKAGE. NO SET UP OR ADM"
705 miles,"$14,990 ",S 1000 R,  2021 BMW Standard,"SUPER CLEAN, AKROPOVIC EXHUAST, FIRST SERVICE DONE."
5 miles,"$18,999 ",R 18 First Edition,New 2021 BMW Touring,"The flyline is elongated and low. The double-cradle steel frame covers the powerful, sculpted engine that underlines the impressive presence of the bike. Riders also have a number of custom equipment options: the R 18 is scaled back to its core to allow for full customization."
"5,500 miles","$18,600 ",S 1000 XR,  2021 BMW Sport Touring,
"5,832 miles","$18,500 ",S 1000 XR,  2021 BMW Sport Touring,It is equipped with the Premium Package
900 miles,"$17,000 ",R 1250 RS,  2020 BMW Sport Touring,
"14,000 miles","$18,600 ",R 1250 1250 R,  2020 BMW Touring,
"7,699 miles","$20,000 ",OTHER,  2018 BMW Sport Touring,
"19,195 miles","$18,495 ",K 1600 GTL Thunder Grey Metallic Premium,  2018 BMW Touring,"Ride on and glide towards the horizon in style and elegance on this luxurious high-performance touring bike. The new BMW K 1600 GTL is the pinnacle of high quality and sheer comfort. The standard model comes with the legendary six-cylinder in-line engine, and now includes the latest generation of Dynamic ESA and ABS Pro. The new redesigned panels reinforce its elegant appearance. Stay calm and collected in any weather condition and at any distance. Enjoy effortless steering on all your trips, whether you’re on your own or with a passenger. Travelling with the K 1600 GTL is a unique experience stylish, powerful, luxurious the first class awaits you on two wheels."
"5,600 miles","$10,995 ",R NINET SCRAMBLER,  2017 BMW Classic / Vintage,
"2,660 miles","$15,300 ",R 1200 RT,  2016 BMW Sport Touring,
"28,000 miles","$16,000 ",R 1200 GS ADVENTURE,  2016 BMW Dual Sport,
"4,653 miles","$10,950 ",R NINET BASE,  2015 BMW Sportbike,
"3,182 miles","$15,950 ",S 1000 RR,  2015 BMW Sportbike,"New Arrival! Now available is our 2015 BMW S1000RR with only 3,182 miles! It has the premium package which comes with the cruise control, heated grips, traction control and more! It has just been serviced and comes with brand new tires. Come see it today!"
,"$13,000 ",R 1200 RT,  2014 BMW Touring,
"18,931 miles","$6,950 ",F 750,  2013 BMW Sport Touring,
"24,800 miles","$6,895 ",R 80 RT,  1985 BMW Sport Touring,
500 miles,"$10,000 ",R 100 RT,  1983 BMW Classic / Vintage,
4 miles,"$14,940 ",R Ninet Scrambler Granite Gray Metallic,New 2023 BMW Standard,"The R nineT Scrambler knows no conventions: rough, unadapted, individual. Its handling is balanced and unique. With the boxer, you can ride around with your head held high, it is available for every spontaneity. And the typical Scrambler look together with the relaxed seating position makes a lot of difference – and above all is a lot of fun. Design your R nineT Scrambler so that it fits perfectly into your life. No matter what the others say. Just typical #Soulfuel."
4 miles,"$15,860 ",R Ninet Scrambler 719 Underground/Light White,New 2023 BMW Standard,"The R nineT Scrambler knows no conventions: rough, unadapted, individual. Its handling is balanced and unique. With the boxer, you can ride around with your head held high, it is available for every spontaneity. And the typical Scrambler look together with the relaxed seating position makes a lot of difference – and above all is a lot of fun. Design your R nineT Scrambler so that it fits perfectly into your life. No matter what the others say. Just typical #Soulfuel."
3 miles,"$6,485 ",G 310 GS Rally,New 2023 BMW Dual Sport,"Be spontaneous. Break the routine. With the BMW G 310 GS, your everyday life becomes an adventure. Thanks to the optimized engine with Ride by Wire and a slipper clutch, you can master the urban jungle and make trips into the surrounding areas. Your adventure doesn’t have to be big to be unforgettable. What matters is that you experience them every day."
,"$23,524 ",R 1250 GS GS Trophy,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS."
1 miles,"$13,595 ",F 750 GS,New 2023 BMW Standard,YOUR TICKET TO ADVENTURE
7 miles,"$22,999 ",R 18 B,New 2022 BMW Cruiser,RAW POWER – PURE SOUL
910 miles,"$21,500 ",R 18 TRANSCONTINENTAL,  2022 BMW Cruiser,
645 miles,"$28,997 ",R 1250,  2022 BMW Touring,Premium Package
129 miles,"$8,499 ",C 400 GT Callisto Gray Metallic,  2022 BMW Scooter,"A vibrant metropolis. Novelty around every corner. You have unlimited options with the C 400 GT: climb on, set off, enjoy and just keep going even beyond city limits. In doing so, you will conveniently reach your destination thanks to the new Ride by Wire and optional BMW Motorrad Connectivity including Navigator. Your radius increases and you discover your world in a new dimension. #PluggedToLife"
"1,068 miles","$13,500 ",F 750,  2022 BMW Dual Sport,
"1,257 miles","$13,999 ",R NINET 719,  2021 BMW Standard,"2021 BMW R nineT Pure with the Option 719 Classic Billet package. Only 1,257 miles. Comes with BMW factory installed ride modes, factory installed Sport Wheels, factory installed adaptive headlight, factory installed heated grips, factory installed cruise control, Option 719 Cosmic Blue Metallic/Light White paint upgrade, Vance & Hines slip-on muffler. All of our bikes come with a battery tender lead installed for easy charging. Financing and extended warranties available."
245 miles,"$12,998 ",R nineT Scrambler,  2021 BMW Standard,"POWERFUL, ROBUST, CREATIVE"
"6,100 miles","$14,500 ",R 1250,  2021 BMW Sport Touring,
"3,075 miles","$17,499 ",S1000XR 1000 XR,  2020 BMW Sport Touring,? FINANCE AVAILABLE
891 miles,"$11,498 ",F 900 XR,  2020 BMW Standard,"XR stands for the uncompromising combination of athleticism and long-distance performance: Adrenaline for days, curve for curve. On the new F 900 XR, you can keep hunting these curves without stopping – mile after mile. Even its thrilling design promises pure performance. While the upright, relaxed sitting position and the wind and weather protector show: Only one person decides when your ride is over – you."
"11,968 miles","$18,995 ",K 1600 GT,  2020 BMW Sport Touring,
"19,439 miles","$16,500 ",K 1600 B,  2018 BMW Touring,K 1600 Grand America
"11,700 miles","$18,000 ",K 1600 GTL,  2018 BMW Touring,"Bag and Trunk Liners, Black"
,"$12,700 ",R NINET URBAN GS URBAN G/S,  2018 BMW Standard,"This RnineT GS URBAN is in great condition, with great care and always kept in a garage, it has no major dents or scratches, no accidents and a clean title."
"7,000 miles","$17,800 ",K 1600 B,  2018 BMW Touring,
"39,000 miles","$12,000 ",S 1000 XR,  2016 BMW Sport Touring,
"17,085 miles","$15,222 ",R 1200 GS Premium Racing Red,  2016 BMW Dual Sport,The BMW R 1200 GS the icon of all travel adventure bikes. For 32 years "the GS" has been defining its segment and has proven to be the trusty companion on any motorcycle journey. BMW Motorrad is now embarking on a new chapter of its success story and is yet again perfecting the iconic R 1200 GS.
"4,460 miles","$12,750 ",R NINET,  2015 BMW Standard,
"39,583 miles","$12,777 ",K 1600 GTL,  2015 BMW Touring,"When luxury is freed of constraint, it moves to a new level. At the very top of this evolution is the K 1600 GTL a high-class touring bike like none before it. With the most compact and efficient in-line 6-cylinder engine ever installed in a series production motorcycle."
"6,598 miles","$10,000 ",R 1200 R,  2015 BMW Sport Touring,Comfort Package
"14,840 miles","$7,750 ",OTHER GS,  2010 BMW Touring,
"8,600 miles","$9,000 ",K RS,  1987 BMW Classic / Vintage,
"23,000 miles","$17,950 ",R 60,  1968 BMW Classic / Vintage,
15 miles,"$22,780 ",R 1250 GS,New 2023 BMW Standard,
3 miles,"$18,045 ",R nineT 719 Night Black Matte/Aluminum Matte BASE,New 2023 BMW Cruiser,"Thoroughly reduced. And yet entirely present. The BMW R nineT. The classic roadster embodies the passion and innovation of over 90 years of motorcycle design, with high-quality materials and careful workmanship in the smallest detail. Its iconic boxer engine now blends in even better with the original proportions. And lets you power over the asphalt with its improved torque curve. Countless individualization options mean no limits when it comes to your self-realization. Become part of the #Soulfuel community and show who you really are with your R nineT."
1 miles,"$21,240 ",R 1250 GS Light White,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS."
10 miles,"$29,480 ",K 1600 GTL Black Storm Metallic,New 2023 BMW Sport Touring,"There is a German proverb along the lines of “anyone who travels with ambitions never travels alone.” This is especially true when you are traveling with someone else. The BMW K 1600 GTL represents both these elements. It offers performance touring that leaves no wishes unfulfilled. Its powerful six-cylinder engine now delivers dynamism and superior character: thanks to the comfortably designed vehicle geometry, you can enjoy every mile. - The cockpit has also been redesigned. it has been entirely geared towards interaction with you so you can enjoy every tour even more consciously and intensively. Because traveling together starts here truly in the spirit of #RideAndShare."
2 miles,"$21,240 ",R 1250 GS Light White,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS."
173 miles,"$17,000 ",F 850 GS 850 GS ADVENTURE,  2022 BMW Dual Sport,
"7,365 miles","$12,995 ",R NINET URBAN G/S,  2022 BMW Standard,
,"$17,000 ",S 1000 R,  2022 BMW Sportbike,
7 miles,"$21,999 ",R 18 B,New 2022 BMW Cruiser,RAW POWER – PURE SOUL
5 miles,"$23,120 ",R 1250 GS Adventure Rally,New 2022 BMW Dual Sport,"The world is there to be discovered. There’s always something new. The R 1250 GS is the queen of the touring enduro It’s just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease. Because we know: Your ideas for travelling the world are endless. Just typical #SpiritOfGS."
"2,100 miles","$12,800 ",F 850 GSA 850 GS ADVENTURE,  2021 BMW Touring,
"34,390 miles","$15,900 ",K 1600 GTL,  2019 BMW Touring,
1 miles,"$23,000 ",K 1600 GTL,  2018 BMW Sport Touring,
,"$15,500 ",K 1600 B,  2018 BMW Sport Touring,
"26,000 miles","$17,999 ",R 1200 GS RALLYE,  2017 BMW Dual Sport,
"11,104 miles","$11,990 ",S 1000 XR,  2016 BMW Sport Touring,
"2,891 miles","$11,995 ",R NINET BASE,  2016 BMW Classic / Vintage,
"18,686 miles","$12,000 ",R 1200 GS,  2013 BMW Sport Touring,
"45,748 miles","$8,500 ",R 1200 GS ADVENTURE,  2010 BMW Dual Sport,
,"$4,500 ",K 1200 LT,  2006 BMW Touring,
"43,000 miles","$6,500 ",R 1200 RT,  2005 BMW Touring,Excellent working condition. Very well maintained.
7 miles,"$25,890 ",R 18 B,New 2023 BMW Cruiser,RAW POWER – PURE SOUL
4 miles,"$21,935 ",R 1250 GS,New 2023 BMW Standard,BOUNDLESS THIRST FOR ADVENTURE
201 miles,"$21,565 ",R 1250 GS,New 2023 BMW Standard,SAVE $1500 ON OUR DEMO STANDARD SUSPENSION RALLY
5 miles,"$26,225 ",R 1250 GS Adventure,New 2023 BMW Dual Sport,Dynamic ESA
200 miles,"$23,255 ",R 1250 GS,New 2023 BMW Dual Sport,Saddle Bag Mounts
5 miles,"$23,980 ",R 1250 GS,New 2023 BMW Dual Sport,Saddle Bag Mounts
3 miles,"$11,295 ",R nineT Pure Mineral Gray Metallic,New 2023 BMW Cruiser,Reduced to the essential. But full of self-confidence. The BMW R nineT Pure. The powerful air/oil-cooled engine gives you goosebumps on the tarmac. Its classic roadster look with the compact fuel tank and slim rear reminds you of the early days of BMW Motorrad. The purist design and the many possibilities for customization invite you to create your very own personal bike. One that no one else rides. Give your ideas free rein and immerse yourself in the world of #Soulfuel with the R nineT Pure.
3 miles,"$24,390 ",R 18 B Gravity Blue Metallic,New 2023 BMW Cruiser,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, it’s not all about displacement. The R 18 B goes significantly further. It’s made for customizing. Turn it into your unique bike and bring out the #SoulFuel."
75 miles,"$17,888 ",R 18,  2022 BMW Cruiser,
209 miles,"$13,499 ",CE 04 Style Avantgarde,New 2022 BMW Scooter,"You move around the world’s cities and metropolitan regions exactly at the point where each neighborhood represents the first step towards the next new idea. And you are also always on the move. We are familiar with this captivating dynamism as we have been applying it for over 10 years to develop solutions and concepts for urban electromobility, something that means far more now than just getting from A to B. It is from this long-term innovative leadership that the BMW CE 04 is launching into a new era of design, to seamlessly integrate into your everyday life thanks to its intelligent connectivity solutions from navigation to clothing. Quite simply #PluggedToLife."
"12,757 miles","$26,000 ",R 1250,  2022 BMW Dual Sport,
675 miles,"$23,500 ",R 1250,  2022 BMW Dual Sport,
"4,813 miles","$22,750 ",K 1600 GTL,  2021 BMW Sport Touring,
"6,830 miles","$18,890 ",K 1600 GT SPORT,  2020 BMW Cruiser,
"1,120 miles","$4,495 ",300,  2019 BMW Dual Sport,
"17,400 miles","$17,500 ",K 1600 B,  2019 BMW Sport Touring,
"14,327 miles","$17,999 ",R 1200 GS ADVENTURE,  2018 BMW Dual Sport,
"30,056 miles","$15,600 ",R 1200 GS ADVENTURE,  2017 BMW Sport Touring,
"18,770 miles","$16,000 ",R 1200 GS,  2017 BMW Touring,
"3,608 miles","$16,500 ",S 1000 RR,  2016 BMW Sportbike,
,"$15,000 ",S1000rr,  2015 BMW Sportbike,This is a 2015 BMW S 1000 track bike has 37424 miles and has a fresh motor in it. ohlins forks ohlins ttx shock akropovic full exhaust rck ecu gpr dampner armor bodies fairings bonamici rear sets woodcraft bars brembo master core moto lines sbs pads alpha racing shifter db holders front stay ligtech superbike lifter hp wheels
"43,650 miles","$9,500 ",K 1600 GT,  2014 BMW Sport Touring,
"76,200 miles","$6,850 ",K 1300 GT,  2010 BMW Sport Touring,
"3,912 miles","$11,000 ",S 1000 RR,  2010 BMW Sportbike,
"25,577 miles","$5,200 ",K 1200 R SPORT,  2007 BMW Sportbike,
"10,540 miles","$6,000 ",K,  2006 BMW Sport Touring,
"28,000 miles","$5,500 ",R 1200,  2005 BMW Sport Touring,
"34,500 miles","$4,595 ",K 1200 GT,  2003 BMW Sport Touring,
6 miles,"$18,755 ",S 1000 R,New 2023 BMW Standard,AWAKEN THE DAREDEVIL
11 miles,"$24,885 ",R1250GS 1250 GS,New 2023 BMW Sport Touring,
6 miles,"$19,535 ",R 1250 RS Light White,New 2023 BMW Sportbike,"The BMW R 1250 RS is a powerful sports touring bike. Characterized by its two-cylinder boxer engine with BMW ShiftCam technology, it visually embodies sporty dominance and unadulterated riding pleasure. Thanks to wind and weather protection, as well as the relaxed sitting position and assistance systems, you can enjoy every corner and every mile whether alone or with a companion. Every punch of your boxer drives you forward every single time. On every journey and every dynamic intermediate sprint. You demand more with confidence and the bike delivers. Simply put: #NeverStopChallenging."
6 miles,"$26,475 ",R 1250 GS Adventure Rally,New 2023 BMW Dual Sport,"The BMW R 1250 RS is a powerful sports touring bike. Characterized by its two-cylinder boxer engine with BMW ShiftCam technology, it visually embodies sporty dominance and unadulterated riding pleasure. Thanks to wind and weather protection, as well as the relaxed sitting position and assistance systems, you can enjoy every corner and every mile whether alone or with a companion. Every punch of your boxer drives you forward every single time. On every journey and every dynamic intermediate sprint. You demand more with confidence and the bike delivers. Simply put: #NeverStopChallenging."
201 miles,"$30,025 ","R18 Transcontinental, Demo Model",  2023 BMW Touring,"The R 18 Transcontinental offers you exclusive and luxurious traveling. As a member of the R 18 family it represents BMW Motorrad’s tradition and is deeply rooted in the here and now: its unmistakable front end with the tall windscreen and the mighty Big Boxer promise a comfortable, powerful ride for miles. The automatic load compensation feature accurately adapts the chassis to the load applicable to the motorcycle. And thanks to it being prepared for customizing you can define your R 18 Transcontinental according to what you will discover on every trip: yourself. Simply put: classic #SoulFuel."
,"$27,960 ",R 1250 RT,New 2023 BMW Standard,POWERFUL MACHINE SO YOU ARRIVE RELAXED AT YOUR DESTINATION
"5,400 miles","$19,500 ",S 1000 XR,  2022 BMW Sport Touring,
1 miles,"$27,560 ",K 1600 GT Light White/Racing Blue Metallic/Racing Red,New 2022 BMW Sportbike,"Your trip is perfect if you have forgotten everything you left behind after the first corner. When you feel an irresistible drive, in response to the smallest command. In other words: When you have everything you need, but you still get more than before: more comfort, more performance. The legendary six-cylinder K 1600 GT now drives you forward with even more focus. In keeping with this, the new cockpit has been fully geared towards your needs. For an outstanding performance tour when you’re out and about. A fully fledged #RideAndShare."
201 miles,"$23,640 ","R18 B, Demo Model",  2022 BMW Cruiser,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, it’s not all about displacement. The R 18 B goes significantly further. It’s made for customizing. Turn it into your unique bike and bring out the #SoulFuel."
201 miles,"$12,730 ","R nineT Pure, Demo Model",  2022 BMW Standard,Reduced to the essential. But full of self-confidence. The BMW R nineT Pure. The powerful air/oil-cooled engine gives you goosebumps on the tarmac. Its classic roadster look with the compact fuel tank and slim rear reminds you of the early days of BMW Motorrad. The purist design and the many possibilities for customization invite you to create your very own personal bike. One that no one else rides. Give your ideas free rein and immerse yourself in the world of #Soulfuel with the R nineT Pure.
"3,700 miles","$21,500 ",K 1600 B,  2021 BMW Touring,
317 miles,"$21,999 ",K,  2021 BMW Touring,CALL HENRY 732-906-9292 X 1001
971 miles,"$4,600 ",G 310 R,  2021 BMW Sportbike,
"7,079 miles","$24,000 ",K 1600 Grand America Black Storm Metallic,  2021 BMW Touring,"If you’re hungry for asphalt and for new horizons, then the Bagger is the motorcycle for your journey. With its six cylinders, it delivers impressive power and extraordinary running smoothness. Let the journey begin. You and the bike become one with the road in the Bagger silhouette: the chopped windscreen and the striking rear ensure an unmistakable appearance. Behind its good looks is a great deal of innovative technology and a high level of comfort. So get going with the K 1600 B."
463 miles,"$4,475 ",G 310 R,  2021 BMW Standard,
"8,836 miles","$22,000 ",K 1600 GRAND AMERICA,  2020 BMW Touring,
"1,321 miles","$21,500 ",K 1600 B,  2018 BMW Touring,
"6,108 miles","$16,900 ",K 1600 B,  2018 BMW Touring,
"21,829 miles","$17,475 ",K 1600 GRAND AMERICA,  2018 BMW Touring,
"16,950 miles","$17,999 ",K 1600 GTL,  2018 BMW Touring,"Ride on and glide towards the horizon in style and elegance on this luxurious high-performance touring bike. The new BMW K 1600 GTL is the pinnacle of high quality and sheer comfort. The standard model comes with the legendary six-cylinder in-line engine, and now includes the latest generation of Dynamic ESA and ABS Pro. The new redesigned panels reinforce its elegant appearance. Stay calm and collected in any weather condition and at any distance. Enjoy effortless steering on all your trips, whether you’re on your own or with a passenger. Travelling with the K 1600 GTL is a unique experience stylish, powerful, luxurious the first class awaits you on two wheels."
"31,800 miles","$15,000 ",R 1200 GS,  2017 BMW Sport Touring,
"25,000 miles","$13,500 ",R 1200 RT,  2016 BMW Sport Touring,"EXCELLENT CONDITION, MAINTAINED, SPECIAL COLOR, ENGINE GUARD, ABS, SOUND SYSTEM, DYNAMIC SUSPENSION,…."
